GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,AE1JE001,AE1JE002,AE1JE003,AE1JE004,AE1JE005,AE1JE006,AE1JE007,AE1JE008,AE1JE009,AE1JE010,AE1JE011,AE1JE012,AE1JE013,AE1JE014,AE1JE015,AE1JE016,AE1JE017,AE1JE018,AE1JE019,AE1JE020,AE1JE021,AE1JE022,AE1JE023,AE1JE024,AE1JE025,AE1JE026,AE1JE027,AE1JE028,AE1JE029,AE1JE030,AE1JE031,AE1LE001,AE1LE002,AE1LE003,AE1LE004,AE1LE005,AE1LE006,AE1LE007,AE1LE008,AE1LE009,AE1LE010,AE1LE011,AE1LE012,AE1LE013,AE1LE014,AE1LE015,AE1LE016,AE1LE017,AE1LE018,AE1LE019,AE1LE020,AE1LE021,AE1LE022,AE1LE023,AE1LE024,AE1LE025,AE1LE026,AE1LE027,AE1LE028,AE1LE029,AE1LE030,AE1LE031,AE1PE001,AE1PE002,AE1PE003,AE1PE004,AE1PE005,AE1PE006,AE1PE007,AE1PE008,AE1PE009,AE1PE010,AE1PE011,AE1PE012,AE1PE013,AE1PE014,AE1PE015,AE1PE016,AE1PE017,AE1PE018,AE1PE019,AE1PE020,AE1PE021,AE1PE022,AE1PE023,AE1PE024,AE1PE025,AE1PE026,AE1PE027,AE1PE028,AE1PE029,AE1PE030,AE1PE031,AE1RE001,AE1RE002,AE1RE003,AE1RE004,AE1RE005,AE1RE006,AE1RE007,AE1RE008,AE1RE009,AE1RE010,AE1RE011,AE1RE012,AE1RE013,AE1RE014,AE1RE015,AE1RE016,AE1RE017,AE1RE018,AE1RE019,AE1RE020,AE1RE021,AE1RE022,AE1RE023,AE1RE024,AE1RE025,AE1RE026,AE1RE027,AE1RE028,AE1RE029,AE1RE030,AE1RE031,NAME_M,AE1JM001,AE1JM002,AE1JM003,AE1JM004,AE1JM005,AE1JM006,AE1JM007,AE1JM008,AE1JM009,AE1JM010,AE1JM011,AE1JM012,AE1JM013,AE1JM014,AE1JM015,AE1JM016,AE1JM017,AE1JM018,AE1JM019,AE1JM020,AE1JM021,AE1JM022,AE1JM023,AE1JM024,AE1JM025,AE1JM026,AE1JM027,AE1JM028,AE1JM029,AE1JM030,AE1JM031,AE1LM001,AE1LM002,AE1LM003,AE1LM004,AE1LM005,AE1LM006,AE1LM007,AE1LM008,AE1LM009,AE1LM010,AE1LM011,AE1LM012,AE1LM013,AE1LM014,AE1LM015,AE1LM016,AE1LM017,AE1LM018,AE1LM019,AE1LM020,AE1LM021,AE1LM022,AE1LM023,AE1LM024,AE1LM025,AE1LM026,AE1LM027,AE1LM028,AE1LM029,AE1LM030,AE1LM031,AE1PM001,AE1PM002,AE1PM003,AE1PM004,AE1PM005,AE1PM006,AE1PM007,AE1PM008,AE1PM009,AE1PM010,AE1PM011,AE1PM012,AE1PM013,AE1PM014,AE1PM015,AE1PM016,AE1PM017,AE1PM018,AE1PM019,AE1PM020,AE1PM021,AE1PM022,AE1PM023,AE1PM024,AE1PM025,AE1PM026,AE1PM027,AE1PM028,AE1PM029,AE1PM030,AE1PM031,AE1RM001,AE1RM002,AE1RM003,AE1RM004,AE1RM005,AE1RM006,AE1RM007,AE1RM008,AE1RM009,AE1RM010,AE1RM011,AE1RM012,AE1RM013,AE1RM014,AE1RM015,AE1RM016,AE1RM017,AE1RM018,AE1RM019,AE1RM020,AE1RM021,AE1RM022,AE1RM023,AE1RM024,AE1RM025,AE1RM026,AE1RM027,AE1RM028,AE1RM029,AE1RM030,AE1RM031
"G330","2016",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,"New Hampshire",1247155,619134,29573,34457,34048,23857,18324,41328,38670,36574,69089,94189,98100,64025,27148,9752,628021,26996,32371,31596,21688,16336,40227,35954,35436,70629,95907,101074,67681,32970,19156,16671,9260,696,580,442,296,85,974,1295,713,1747,1342,455,420,187,28,7411,767,650,451,197,270,440,723,721,1115,1072,465,433,76,31,32679,15307,617,645,1233,743,451,1331,947,1536,1983,3072,1698,402,570,79,17372,1069,1512,1162,625,852,964,1018,1592,3298,2753,1296,384,801,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Hampshire",2813,2010,830,2266,2294,829,1379,1554,463,435,872,838,513,372,1279,1213,1827,580,1896,1947,502,533,784,786,615,806,741,433,325,1669,1615,1681,1207,459,266,254,314,93,478,562,390,667,494,302,342,121,37,1173,481,371,252,234,242,385,390,437,592,532,339,280,122,65,2286,1491,404,315,560,340,307,670,645,460,615,799,514,255,472,127,1565,497,624,491,396,495,455,665,477,828,518,418,277,450,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G340","2016",,,"New Jersey","34",,,,,,,,,,,,,,,,,,"New Jersey",6090908,2985225,161543,173144,183733,118977,73668,185375,186143,182337,362442,448451,438335,280228,132566,58283,3105683,155966,161397,174381,113912,67225,176674,175460,178314,359590,460254,460151,324307,182644,115408,1194585,563318,36470,36694,40571,27177,17578,48998,45262,36710,76118,80774,63706,33624,15055,4581,631267,35591,39678,36430,25773,17104,45652,46574,42070,86811,90842,78471,49101,26204,10966,854181,416212,25159,26607,27904,15072,10015,26118,30142,36235,73586,58997,44476,28205,11679,2017,437969,22537,28184,25391,14689,9586,23832,33213,41165,77840,62050,49381,33342,12709,4050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Jersey",22621,12385,3198,5353,5260,1771,2186,3217,2523,2773,3928,3049,2223,1528,3014,2673,12906,2912,5489,5331,1757,1699,2535,2000,2706,3185,2783,2426,1763,3162,3090,11078,5829,1885,2462,3077,1240,1850,2295,1623,1682,2420,1656,1407,1077,1222,933,6827,1789,2877,2763,1220,1624,1977,1732,1380,2113,1787,1299,1019,1521,1403,6311,3534,1243,2001,1942,879,1090,1127,1073,1041,1091,1046,876,959,900,693,3554,974,1975,1867,841,1110,1401,826,987,1349,933,825,1049,1185,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G350","2016",,,"New Mexico","35",,,,,,,,,,,,,,,,,,"New Mexico",1539634,761031,42903,49290,50613,30621,21140,51671,51043,49027,88989,91450,103792,79206,38803,12483,778603,44922,49194,46613,27264,20245,47920,45741,47618,86861,94647,113369,88827,45449,19933,41043,23512,1148,1294,1431,1722,973,2397,1982,1988,2575,3056,2467,1787,613,79,17531,867,1156,1128,885,863,1694,1265,1422,1714,2817,1901,1327,292,200,32346,14479,949,330,980,549,202,1330,1745,1753,1957,1987,1396,1086,160,55,17867,400,690,1552,940,505,752,2026,1022,3222,2688,1798,1822,386,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Mexico",11642,7438,1936,2972,3051,1650,2104,2542,2641,2321,3028,2423,1751,1504,1773,1647,6951,2074,3117,3473,1742,1762,2884,2213,1864,2606,2965,1951,1513,1722,1713,2715,1805,566,452,545,828,426,780,783,1001,796,999,591,601,294,103,1913,583,559,544,483,401,549,560,613,662,826,506,404,235,209,2297,1583,455,279,402,308,201,614,689,774,438,792,315,412,147,91,1397,260,409,781,388,298,269,598,321,537,535,361,452,280,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G360","2016",,,"New York","36",,,,,,,,,,,,,,,,,,"New York",12530463,6150332,326220,340313,340161,221315,161296,410634,442531,421024,739280,875902,879502,590280,280204,121670,6380131,311114,316315,333519,207821,156318,396178,432071,412167,729327,881789,915265,672631,379659,235957,3080534,1422133,95552,98923,92268,66129,42471,121084,126446,102571,174768,194037,164568,90895,39708,12713,1658401,96632,93566,97508,61130,46903,122676,131411,111130,212720,235361,209482,135442,69307,35133,1668036,794533,47480,43337,45341,25803,20756,60012,72768,68519,117657,107726,95610,56944,26616,5964,873503,43713,44868,38609,26164,20042,63613,82500,78941,141556,123039,105470,62704,29295,12989,9236,4055,585,166,112,191,249,150,676,384,408,701,200,167,0,66,5181,121,178,372,207,185,576,487,421,521,830,717,236,139,191,"New York",29879,16238,4397,6006,6854,2816,2373,3822,4114,3427,5680,4712,3472,2329,4178,3885,17506,3976,7127,7278,2470,3570,4450,3103,3144,3895,4190,3876,2939,5912,5849,18978,10748,3027,4027,3481,1998,2158,3439,2717,2902,2742,3097,2257,1783,1515,1451,11230,3418,4165,4266,2077,2202,2411,2740,2337,3244,2821,2723,1782,2589,2571,11780,5970,1829,2415,2223,1188,1312,2037,2080,1446,2261,2029,1473,1186,1326,1039,7142,1924,2456,2344,1265,1303,2018,1637,1624,2023,1830,1558,1282,1762,1514,2216,1191,398,147,136,188,191,161,364,448,295,411,183,172,192,92,1393,130,146,269,216,154,279,323,349,294,436,505,260,136,346
"G370","2016",,,"North Carolina","37",,,,,,,,,,,,,,,,,,"North Carolina",6989065,3427711,185274,198890,213007,130365,92106,226710,225021,207391,435181,491728,464203,347988,160642,49205,3561354,179464,189597,201148,122000,86494,209358,223320,214812,437890,497762,501516,393983,215667,88343,2182212,1022568,67105,80807,73373,50717,37950,85551,74508,66345,125843,137307,119789,71992,24926,6355,1159644,62706,74465,73538,47911,33580,86516,87634,74031,156171,158848,148090,95360,42687,18107,275428,133559,9498,11370,8502,5312,4202,8878,12191,12732,24202,16977,10661,6473,1714,847,141869,8249,9174,9003,5386,5228,9171,11873,14410,26615,19812,12253,7549,2053,1093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Carolina",14006,9040,2990,5855,5893,2486,3169,3501,2797,2665,3522,2949,1683,1184,2869,2576,8224,3134,6086,5323,3133,3820,4354,2774,2699,3837,2656,2007,1324,4322,4163,12962,8486,2876,4325,3908,2451,3279,3350,2696,3143,3925,3183,1347,2248,1889,1186,8430,2571,4534,3687,2393,2543,2926,2859,2489,3715,2674,1710,1885,2331,1863,4413,2957,1007,1377,1131,923,880,1259,1184,1042,1661,1600,1220,796,610,371,2912,895,1204,1357,727,1159,1325,980,1168,1787,1386,1143,934,621,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G380","2016",,,"North Dakota","38",,,,,,,,,,,,,,,,,,"North Dakota",660919,338460,22019,19554,19683,10434,10279,29886,28531,24517,40329,39510,45479,28216,13660,6363,322459,20807,19873,17444,10845,9719,25813,23025,20869,35494,37230,43440,28450,18048,11402,19250,11228,1813,439,782,89,457,1173,851,1316,1707,1930,580,91,0,0,8022,1159,485,437,485,410,889,567,1653,657,719,376,185,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Dakota",3096,2032,685,1537,1497,565,816,802,1318,499,780,341,357,243,854,833,1877,580,1298,1444,689,939,1024,890,191,611,259,116,425,1082,1080,2426,1855,734,309,525,96,249,534,546,718,971,1098,338,100,155,155,1213,540,330,256,332,321,837,395,917,403,676,472,315,155,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G390","2016",,,"Ohio","39",,,,,,,,,,,,,,,,,,"Ohio",9476221,4655770,266031,273691,287777,183920,120438,304080,310151,291056,559815,646316,674805,450295,210194,77201,4820451,247868,251007,285521,174289,115272,291400,298541,286743,559750,658692,712432,505585,281528,151823,1443510,692016,51050,56671,51540,33797,22508,60864,53154,44832,84036,85222,80991,42417,19130,5804,751494,48667,55921,50668,33427,20606,57500,55962,50960,91288,93694,91925,56341,30600,13935,239025,117018,7698,6595,7779,4655,3559,10515,10733,13240,19324,14476,10285,5216,2479,464,122007,6897,7072,6338,3386,3892,10010,12306,12506,21508,14953,11736,7446,3148,809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ohio",11069,6439,1999,5081,5018,1401,2155,2474,1904,1639,1976,1597,1062,861,3625,3418,6695,1731,5941,6026,1700,2159,2664,1569,1573,1898,1415,1425,1037,4368,4325,10409,5742,2415,3448,3329,1714,1621,2718,1773,1623,2697,2239,1515,1315,1402,1090,6931,2455,3532,3899,1663,1256,2542,1759,1725,1814,2053,1463,1098,1665,1617,3799,3043,925,1156,1167,943,705,1173,1206,1341,1633,1553,1006,916,583,276,2586,839,1248,1347,796,746,1261,958,1178,1608,1248,1020,1177,671,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G400","2016",,,"Oklahoma","40",,,,,,,,,,,,,,,,,,"Oklahoma",2841467,1406212,85383,86879,89671,53278,38707,93693,93927,95685,175059,180800,189207,135342,67330,21251,1435255,81679,81175,84485,50075,33353,87281,94749,93744,169920,181769,199930,150831,87938,38326,287373,140952,9780,10402,11249,6629,5090,14834,10766,10551,17592,17506,15210,7890,2587,866,146421,10642,11291,10602,5786,5120,12159,11456,9726,19483,17005,16909,10154,4881,1207,79246,36102,2469,3429,1719,1138,869,4282,3546,3294,6069,4026,2568,1685,835,173,43144,2167,3044,2132,1793,1757,3458,3170,4437,7299,6516,3749,2359,1210,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oklahoma",7869,4418,1767,2942,2922,1107,1891,1914,1319,1187,1661,1648,706,784,1538,1493,4682,1579,3390,3197,1113,1579,1695,1270,1191,1451,1538,744,690,2238,2208,4830,3290,1037,1782,1535,633,963,1631,1119,1114,1424,1044,770,646,356,311,3649,1391,1514,1361,610,1060,1260,1158,838,1078,1036,968,713,508,384,2991,2006,570,607,472,316,497,1103,898,578,759,622,432,566,324,153,1717,509,897,605,542,449,704,499,566,709,1053,519,495,306,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G410","2016",,,"Oregon","41",,,,,,,,,,,,,,,,,,"Oregon",3455810,1705752,93793,95805,96686,60272,38479,106994,119307,118230,221427,222997,237182,185273,79339,29968,1750058,88771,89623,94385,59498,39093,104343,115850,116947,216299,221370,255809,201394,92268,54408,79575,42748,3375,2687,2238,2282,1378,4231,4035,3725,6455,5216,4059,2578,489,0,36827,2575,3595,2510,1405,755,3332,3423,3164,5601,4014,3036,1971,978,468,169459,77467,4162,3778,4441,2668,2759,6564,7499,7189,12969,10175,7782,4601,1758,1122,91992,4021,3715,5016,2507,2284,7717,7030,9093,16224,12432,10826,6991,3228,908,14823,7704,212,772,724,502,585,1029,280,415,1115,848,747,280,195,0,7119,274,264,535,352,684,489,593,1122,901,1100,146,499,160,0,"Oregon",13019,7256,1754,3689,3668,1970,1872,2677,2208,1714,2434,2528,1286,1077,2567,2478,7781,1927,3476,3884,1734,1912,2661,1523,1731,2240,2132,1402,999,2577,2532,4274,2792,1031,689,740,932,437,982,894,669,938,986,603,537,294,201,2441,658,1014,716,637,396,854,792,824,954,537,433,306,346,296,4996,3178,878,849,1028,617,680,940,1169,889,1121,870,729,638,515,513,3015,863,843,960,613,580,1194,895,817,964,1000,879,882,641,496,2564,1702,252,398,346,540,367,627,215,324,388,407,607,313,296,201,1596,233,188,304,233,452,298,531,668,430,725,149,298,223,201
"G420","2016",,,"Pennsylvania","42",,,,,,,,,,,,,,,,,,"Pennsylvania",10340877,5071236,261500,272741,293446,184571,135797,318806,335240,318507,587691,718739,767655,521579,250962,104002,5269641,252688,262497,271522,175014,136660,306686,320908,311248,583018,726396,799883,580207,338084,204830,1407047,680621,50607,49610,50168,32360,25038,60147,60422,48164,82398,86943,74525,38930,15922,5387,726426,47236,47192,48622,29394,23225,57114,59630,47008,87909,95382,85752,56595,27482,13885,423180,202208,11940,12371,13561,8421,7272,16934,19511,19526,31436,24964,18958,11582,4452,1280,220972,12536,12826,12181,7136,7547,18849,20831,21079,36120,27471,23043,13684,5520,2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pennsylvania",15158,8890,2686,5677,5776,1641,2117,3400,2431,2193,2622,2487,1705,1239,3826,3864,8412,2426,5714,5536,1613,2101,2538,1836,1532,2683,2393,1502,1266,6189,6240,11772,7200,2503,3687,3428,1709,1504,2354,2012,2464,2388,2341,1765,1272,1374,1097,7297,2404,3392,3303,1408,1670,2156,2067,1714,2242,1848,1804,1521,1679,1491,5309,3617,1340,1367,1475,920,991,1367,1405,1243,1402,1171,907,848,813,551,3518,1039,1472,1577,985,968,1061,1105,963,1453,1181,1241,841,746,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G440","2016",,,"Rhode Island","44",,,,,,,,,,,,,,,,,,"Rhode Island",850105,408384,18098,19141,25065,14247,12115,29403,28603,25470,47155,58986,61812,41389,19640,7260,441721,18726,17527,22964,13674,14063,27502,27350,25774,48573,63998,69299,47776,25529,18966,67526,34827,2352,2778,2271,1868,1391,3513,2809,2609,4422,4492,3894,1580,848,0,32699,1159,2371,2501,1687,1692,2323,3193,2208,4946,4077,3104,1911,924,603,36875,17099,940,857,942,493,938,1715,2024,2592,2295,1703,1440,622,456,82,19776,1056,602,1813,1219,1267,2340,1338,1666,2864,2672,1645,645,590,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rhode Island",6310,3789,1316,2082,2023,774,796,994,943,954,1092,768,636,503,1083,1052,3528,1355,1633,1481,658,718,914,832,915,1020,967,887,648,1570,1532,4174,2425,636,966,747,598,704,820,363,516,605,729,520,457,474,208,2427,499,749,822,358,286,594,624,487,839,673,511,392,447,332,2185,1426,536,612,512,249,440,516,349,418,576,525,433,274,224,130,1611,491,375,878,482,499,785,378,958,887,589,239,295,316,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G450","2016",,,"South Carolina","45",,,,,,,,,,,,,,,,,,"South Carolina",3342552,1641059,89873,91549,100910,58102,46119,104101,108931,102024,200809,222014,223160,187359,82079,24029,1701493,86637,89956,92986,57163,43222,94882,108688,100477,203930,226279,245197,207328,98598,46150,1337644,625662,39390,50220,47082,29019,22158,53284,48355,40267,77107,75277,75771,47167,16866,3699,711982,41280,47887,46755,26831,19972,53517,52647,47927,91110,92072,93096,59994,27217,11677,76870,33704,1408,2900,2385,917,1499,2372,3169,3047,5904,4616,2695,2148,589,55,43166,2021,2615,2528,1227,1821,2127,3279,3522,8224,5277,4906,3942,1280,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Carolina",9869,5937,2133,4135,4074,1377,2540,2732,1812,2023,3123,1902,1058,816,2383,2285,5970,2254,3872,3970,1939,1953,2166,1514,1548,2234,1581,894,1054,2057,2145,8535,6834,2684,3479,3343,1645,2301,2693,2269,2329,3235,2822,1316,1331,1303,764,4521,1966,3335,3120,1680,2483,2626,1997,2033,2746,2232,977,1094,1603,1332,3837,2511,512,860,731,529,553,718,1052,969,1169,1036,844,805,325,86,2622,901,769,788,509,845,909,798,1090,1349,1025,962,1043,618,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G460","2016",,,"South Dakota","46",,,,,,,,,,,,,,,,,,"South Dakota",732939,368736,23259,24158,22076,14040,11442,25251,22829,23867,43136,45174,53354,36386,17201,6563,364203,22258,22639,21320,11716,10046,23101,20926,21933,40760,44984,53369,36554,20923,13674,14524,8112,686,712,455,570,158,762,953,1104,1459,499,705,43,6,0,6412,796,686,549,448,488,860,312,440,938,321,475,42,11,46,12953,6244,466,733,705,413,383,330,724,400,868,732,328,120,0,42,6709,379,525,852,214,58,750,964,318,741,850,460,448,100,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Dakota",2644,1836,483,1503,1501,738,1180,1226,821,447,868,520,273,133,877,896,1845,640,1590,1561,771,1144,1310,548,556,746,675,332,395,1302,1310,1410,947,355,357,374,274,150,354,427,418,511,244,408,79,11,157,991,359,369,327,361,297,370,219,362,397,310,389,69,18,90,1806,1036,268,400,394,236,286,232,328,216,262,349,214,122,157,83,1333,201,338,478,272,76,442,307,204,365,390,262,598,153,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G470","2016",,,"Tennessee","47",,,,,,,,,,,,,,,,,,"Tennessee",5177478,2542295,146086,148149,163837,101718,61314,167246,171625,160753,323349,352321,339912,255376,118652,31957,2635183,139958,142970,147840,89714,63418,158442,171266,162740,325123,361786,367089,285490,154652,64695,1114434,528904,38942,41827,41902,22679,18896,47149,44461,36689,65073,66757,58485,31330,11589,3125,585530,37523,39113,39062,25856,16591,48229,47363,38113,77166,75961,73279,41419,17733,8122,116375,51380,3151,4411,3150,1875,1522,4007,4536,4852,9363,7168,3360,3262,467,256,64995,3389,4108,5388,2326,2466,4153,4766,5681,11686,8830,6492,3445,1908,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tennessee",9138,6367,2460,4850,4888,2309,2571,2889,2073,2444,2821,1946,1127,763,2354,2354,5758,2206,4672,4623,2005,2703,2703,1920,1987,2071,1770,1168,927,3008,3008,9305,5452,1836,3867,3633,1384,1829,2169,1696,1602,2206,1880,1282,1320,1072,770,5560,1821,3115,2907,1575,1287,1678,1621,1467,1873,1847,1716,1368,1370,1099,3917,2189,705,996,831,649,538,863,1020,719,968,918,653,775,287,173,3089,941,844,725,843,760,1084,807,749,1305,1083,946,921,757,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G480","2016",,,"Texas","48",,,,,,,,,,,,,,,,,,"Texas",20702709,10304549,742197,737219,765670,443434,300302,739492,750606,733494,1368472,1296590,1181495,775633,354406,115539,10398160,704025,711706,721614,427389,275697,697244,716677,712274,1344086,1311459,1243749,865323,459090,207827,3362283,1618007,118359,129859,121963,74221,61292,140190,130662,122078,221185,206054,168641,84411,31045,8047,1744276,119983,120586,121113,74712,52383,130008,141620,133806,245333,226599,196207,112012,49429,20485,1300300,630427,42109,44243,41797,24152,15551,44326,53668,56672,107859,87748,59206,35764,14413,2919,669873,39863,40911,45027,22902,13417,42870,55839,62991,119479,92360,67922,44105,17081,5106,25228,10338,515,1128,1427,675,407,1319,750,566,1761,673,742,335,40,0,14890,1008,245,884,600,343,1157,1638,1893,3096,1780,1551,308,173,214,"Texas",41751,25253,7364,12836,13051,5870,5323,6901,6800,7034,7995,6487,5515,3593,4983,4404,23551,6729,11815,11485,4888,5272,7589,6304,6984,8934,6064,4555,3556,5735,5281,16932,9639,3918,5711,6147,2689,3283,4403,3667,4036,4252,3768,2557,1881,1830,1390,11617,4735,5228,6224,2681,2522,4179,3799,3773,3527,4063,2828,2530,2137,1718,10959,6337,1658,3328,2852,1234,1620,2300,2348,1593,2372,2100,1622,1311,980,822,6881,1957,2984,3170,1460,1100,2069,2417,1974,2142,2331,2144,1379,1222,1196,3345,1946,250,675,666,360,333,530,328,468,766,361,382,311,66,220,2174,572,188,471,226,358,451,987,792,973,646,606,230,238,294
"G490","2016",,,"Utah","49",,,,,,,,,,,,,,,,,,"Utah",2633283,1322908,109794,115494,108812,63506,37491,110575,96676,93494,179765,135641,131761,85754,39056,15089,1310375,102817,107008,103961,60103,37779,104979,93153,95146,173356,134872,135279,92955,49799,19168,32800,18405,2247,2095,1717,987,209,753,2093,1654,2441,2070,1546,463,48,82,14395,999,1858,1282,1292,344,1700,1396,847,1572,1133,1548,312,0,112,70150,34464,2072,1891,2118,1763,1089,4078,3553,3328,5088,4110,3053,1661,438,222,35686,1440,2322,2067,977,1015,3028,3031,3482,6441,4901,3218,2534,1163,67,29463,16005,1482,1558,1411,716,1035,1823,1369,1679,2184,1344,1220,151,33,0,13458,1412,1234,1473,542,482,1267,1295,1522,1383,1126,586,653,0,483,"Utah",10649,6306,1969,4326,4615,1045,1460,2045,1605,1455,1767,1416,1231,633,1260,1232,5820,1640,3828,3778,1196,1245,1708,1395,1285,1716,1393,1152,650,1894,1678,2988,2243,875,618,558,545,154,465,468,430,873,805,508,313,82,138,1396,554,569,431,497,323,668,541,522,593,611,562,256,190,196,3381,2022,562,864,695,422,614,911,682,555,733,543,595,434,243,207,2117,470,690,708,336,501,768,433,560,731,504,453,827,348,111,2219,1262,361,690,582,288,378,689,718,800,663,576,691,227,57,190,1807,487,544,628,280,405,556,546,678,562,496,466,355,190,542
"G500","2016",,,"Vermont","50",,,,,,,,,,,,,,,,,,"Vermont",589379,290228,14284,15225,15809,10064,10152,21749,17374,16562,32592,40075,45948,32133,13584,4677,299151,13274,14829,14581,9723,8375,21493,16694,16710,33083,42109,47927,34336,16531,9486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9406,3816,201,245,218,57,360,377,647,10,807,401,145,348,0,0,5590,0,133,677,92,462,400,456,215,1138,711,587,707,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vermont",961,781,190,1334,1224,413,708,771,317,282,407,78,246,157,787,783,994,274,1183,1188,365,844,1026,538,116,408,166,276,345,982,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088,767,205,234,191,101,236,313,432,29,499,253,147,196,151,151,680,151,188,359,88,206,228,282,205,377,366,290,371,23,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G510","2016",,,"Virginia","51",,,,,,,,,,,,,,,,,,"Virginia",5707035,2821717,156030,165895,166022,102975,79418,192306,190680,190778,357395,402255,387064,269473,120823,40603,2885318,153219,154657,161171,95602,79216,172805,185410,189152,354392,404896,403864,300946,156005,73983,1601868,766846,49548,51452,53990,33158,25979,65202,57534,53943,102767,102673,93267,50925,21141,5267,835022,46896,52431,53772,32569,24226,62118,62553,52814,107418,118914,109046,66537,31571,14157,532320,249966,14379,18268,17079,10233,6218,17696,18066,20957,45121,34828,23268,15017,7481,1355,282354,13794,17687,15422,9427,7309,17012,19154,24299,53241,43366,30363,20960,8366,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virginia",12066,8244,2837,4852,4184,2449,3485,4037,2334,2559,4222,2736,2048,1202,2905,2915,7753,2605,4379,4087,2128,3573,4162,2461,2385,3241,2485,1856,1135,3378,3389,11353,8203,3098,3570,3549,2459,2724,3122,2601,2422,2900,2459,1809,1583,1752,824,7355,3009,3938,3388,1964,2028,3376,2727,2354,2964,2877,2143,1741,1524,1564,7196,4977,1309,1781,1746,1163,847,1399,1341,1183,1541,1580,943,1143,844,576,3684,1053,1835,1553,1049,1014,1800,1047,1363,1613,1882,1272,1217,1088,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G530","2016",,,"Washington","53",,,,,,,,,,,,,,,,,,"Washington",5516602,2757081,157052,160567,152981,96371,62431,174462,204760,194717,352143,376811,388732,275871,117506,42677,2759521,146230,151830,147950,92982,57299,162349,190748,184909,338769,368928,404293,297596,141826,73812,266977,142401,10454,8486,9117,5662,3169,12903,13022,12613,22443,18328,16632,6426,2313,833,124576,9787,10140,8443,5949,4727,8644,10931,10304,17267,15155,12370,6801,2755,1303,597215,274515,16280,15626,14752,8506,7707,23386,27481,25354,44051,36370,26764,17428,7745,3065,322700,14557,16048,15427,10187,7770,20166,27344,30051,54411,45844,37964,25224,12689,5018,48182,22814,1423,2336,2384,840,780,1115,2559,2250,3136,2912,1834,530,698,17,25368,1761,2041,1747,1046,1176,2028,2091,2827,3853,2937,2591,728,473,69,"Washington",14010,8796,2660,3770,4421,1786,1920,2366,1997,1787,2608,2372,1441,882,2594,2552,8051,2368,4881,4285,1954,2054,2346,1977,1723,2814,2073,1329,1143,3819,3780,8785,4765,1295,1547,1767,1047,995,1832,1283,1198,1576,1210,1146,566,693,420,5433,1589,1968,1719,1258,1205,1522,1304,1146,1736,1480,1013,883,583,429,8484,5199,1573,1921,1776,1098,893,1448,1638,1541,1672,1339,1048,667,828,615,4759,1141,1556,1605,876,963,1224,1712,1159,1490,1262,1198,971,1111,892,3043,1835,580,1006,1016,469,447,483,762,809,768,877,650,494,473,31,2200,607,658,824,386,386,786,586,904,909,891,798,446,450,95
