GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,ACKAE001,ACKAE002,ACKAE003,ACKAE004,ACKAE005,ACKAE006,ACKAE007,ACKAE008,ACKAE009,ACKAE010,ACKAE011,ACKAE012,ACKAE013,ACKAE014,ACKAE015,ACKAE016,ACKAE017,ACKAE018,ACKAE019,ACKAE020,ACKAE021,ACKAE022,ACKAE023,ACKAE024,ACKAE025,ACKAE026,ACKAE027,ACKAE028,ACKAE029,ACKAE030,ACKAE031,ACKCE001,ACKCE002,ACKCE003,ACKCE004,ACKCE005,ACKCE006,ACKCE007,ACKCE008,ACKCE009,ACKCE010,ACKCE011,ACKCE012,ACKCE013,ACKCE014,ACKCE015,ACKCE016,ACKCE017,ACKCE018,ACKCE019,ACKCE020,ACKCE021,ACKCE022,ACKCE023,ACKCE024,ACKCE025,ACKCE026,ACKCE027,ACKCE028,ACKCE029,ACKCE030,ACKCE031,ACKGE001,ACKGE002,ACKGE003,ACKGE004,ACKGE005,ACKGE006,ACKGE007,ACKGE008,ACKGE009,ACKGE010,ACKGE011,ACKGE012,ACKGE013,ACKGE014,ACKGE015,ACKGE016,ACKGE017,ACKGE018,ACKGE019,ACKGE020,ACKGE021,ACKGE022,ACKGE023,ACKGE024,ACKGE025,ACKGE026,ACKGE027,ACKGE028,ACKGE029,ACKGE030,ACKGE031,ACKIE001,ACKIE002,ACKIE003,ACKIE004,ACKIE005,ACKIE006,ACKIE007,ACKIE008,ACKIE009,ACKIE010,ACKIE011,ACKIE012,ACKIE013,ACKIE014,ACKIE015,ACKIE016,ACKIE017,ACKIE018,ACKIE019,ACKIE020,ACKIE021,ACKIE022,ACKIE023,ACKIE024,ACKIE025,ACKIE026,ACKIE027,ACKIE028,ACKIE029,ACKIE030,ACKIE031,NAME_M,ACKAM001,ACKAM002,ACKAM003,ACKAM004,ACKAM005,ACKAM006,ACKAM007,ACKAM008,ACKAM009,ACKAM010,ACKAM011,ACKAM012,ACKAM013,ACKAM014,ACKAM015,ACKAM016,ACKAM017,ACKAM018,ACKAM019,ACKAM020,ACKAM021,ACKAM022,ACKAM023,ACKAM024,ACKAM025,ACKAM026,ACKAM027,ACKAM028,ACKAM029,ACKAM030,ACKAM031,ACKCM001,ACKCM002,ACKCM003,ACKCM004,ACKCM005,ACKCM006,ACKCM007,ACKCM008,ACKCM009,ACKCM010,ACKCM011,ACKCM012,ACKCM013,ACKCM014,ACKCM015,ACKCM016,ACKCM017,ACKCM018,ACKCM019,ACKCM020,ACKCM021,ACKCM022,ACKCM023,ACKCM024,ACKCM025,ACKCM026,ACKCM027,ACKCM028,ACKCM029,ACKCM030,ACKCM031,ACKGM001,ACKGM002,ACKGM003,ACKGM004,ACKGM005,ACKGM006,ACKGM007,ACKGM008,ACKGM009,ACKGM010,ACKGM011,ACKGM012,ACKGM013,ACKGM014,ACKGM015,ACKGM016,ACKGM017,ACKGM018,ACKGM019,ACKGM020,ACKGM021,ACKGM022,ACKGM023,ACKGM024,ACKGM025,ACKGM026,ACKGM027,ACKGM028,ACKGM029,ACKGM030,ACKGM031,ACKIM001,ACKIM002,ACKIM003,ACKIM004,ACKIM005,ACKIM006,ACKIM007,ACKIM008,ACKIM009,ACKIM010,ACKIM011,ACKIM012,ACKIM013,ACKIM014,ACKIM015,ACKIM016,ACKIM017,ACKIM018,ACKIM019,ACKIM020,ACKIM021,ACKIM022,ACKIM023,ACKIM024,ACKIM025,ACKIM026,ACKIM027,ACKIM028,ACKIM029,ACKIM030,ACKIM031
"G330","2015",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,"New Hampshire",1245262,614296,30230,31778,36705,23812,17850,41908,36787,35568,71014,95984,95892,60928,26231,9609,630966,27414,30936,34591,22652,18237,39977,35546,34884,72557,98929,99388,64434,33798,17623,21292,10809,745,440,846,313,742,922,627,755,1544,2306,937,431,68,133,10483,540,918,1844,324,840,946,274,602,746,1637,875,834,103,0,34014,16628,1063,1243,1273,748,616,1743,1053,1862,3416,1291,1362,642,187,129,17386,850,961,1476,721,542,1015,1674,1907,3632,1949,1386,911,186,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Hampshire",1995,1405,391,1872,1847,678,885,948,568,724,632,472,314,316,1161,1149,1430,390,2382,2147,667,1152,1109,403,302,582,556,418,165,1705,1688,1989,1259,287,326,439,290,363,533,387,474,869,640,510,291,131,173,1604,431,571,683,214,592,464,277,363,477,599,427,361,154,184,1938,1352,504,587,532,386,306,517,469,501,692,507,459,307,176,164,1202,304,369,399,389,321,574,545,685,765,667,311,330,174,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G340","2015",,,"New Jersey","34",,,,,,,,,,,,,,,,,,"New Jersey",6060267,2971549,162957,176326,184255,118776,72788,182385,185327,179757,362621,456850,429175,269861,132530,57941,3088718,153042,166329,177496,110448,67710,172955,172615,176215,361431,468648,451241,312506,179970,118112,1198613,568068,38301,38920,40680,26840,18739,49152,43591,39411,77385,80326,63109,32921,14369,4324,630545,36983,36293,39220,24620,17482,45607,45334,41385,88133,95081,77327,47705,25236,10139,849240,412409,26027,27740,26426,15258,9875,24389,29649,36066,74565,58552,44073,26012,11269,2508,436831,23174,27549,27356,15049,9734,24288,31204,37760,80732,62597,49111,31077,13777,3423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Jersey",21214,12512,2798,5635,4958,2168,1390,2542,2523,2885,3317,3170,2184,1993,2718,2522,11341,2633,5147,5210,1499,1462,2404,2224,2302,3331,3194,2468,1658,3391,3051,9845,5957,2036,2468,2498,1507,1597,2029,1885,1467,2078,1553,1371,1059,1079,805,6041,2025,2657,2749,1092,1496,1904,1275,1519,1569,1531,1296,1005,1359,1357,5820,3981,1556,2057,2120,896,1133,1323,1096,1166,1090,1053,1007,1031,1014,754,3372,1639,1654,1960,764,1205,1411,829,897,1230,1053,945,1014,1254,921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G350","2015",,,"New Mexico","35",,,,,,,,,,,,,,,,,,"New Mexico",1530670,757985,48248,47472,48987,29780,20680,51556,50731,48894,91679,90500,102575,78943,36101,11839,772685,44008,47970,45155,27774,18770,49879,44154,48492,86066,96594,114965,84528,43620,20710,47873,27360,2110,2621,1244,270,528,3681,1050,1491,4447,4309,3442,1649,303,215,20513,941,1327,2558,1524,882,1776,1117,872,2422,1737,2612,1571,662,512,29282,12509,946,353,1179,212,86,1433,1007,766,1476,2561,1137,1098,74,181,16773,557,728,808,1214,382,711,978,1517,2517,2651,2089,1762,599,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Mexico",13867,7648,2107,2885,2995,1594,2060,2737,2551,2209,2990,2121,1888,1426,1713,1538,7757,2031,3192,3223,1705,1878,2418,1963,2020,2254,1741,1576,1836,1935,1819,3058,2026,769,662,674,275,340,1115,487,758,1034,935,1036,798,264,214,2523,474,789,853,965,583,882,622,535,842,697,747,853,288,377,2691,1600,328,235,627,217,75,895,540,364,596,576,378,553,117,191,1683,385,358,460,675,446,363,470,427,816,608,629,698,327,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G360","2015",,,"New York","36",,,,,,,,,,,,,,,,,,"New York",12621132,6181197,334611,339000,349987,221729,160011,414234,442044,415853,762740,896882,871583,570811,286233,115479,6439935,318508,325130,331622,208483,161235,405992,439520,413161,746952,905551,916667,655064,373503,238547,3081333,1433681,104301,98329,99396,66589,44293,124081,120627,99463,176212,197789,162090,89433,39256,11822,1647652,103229,89010,102599,63811,42070,127329,124699,112375,214414,231404,203969,131021,71047,30675,1672186,798000,48858,44087,43041,27313,20932,63236,72494,66351,121162,109223,95103,54722,24563,6915,874186,45431,43057,41003,26678,18977,68460,83658,77980,139626,123924,101953,61744,30921,10774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New York",30579,17718,4020,7825,7597,2198,2344,3779,4263,3616,5692,4425,3337,2850,4583,4207,16869,3830,7184,7364,2314,2702,3951,3736,3909,4467,3684,3700,2863,6296,6042,16953,9194,2547,4074,3990,1923,1689,2598,2830,2651,3094,3254,2152,1799,1709,1528,10970,3215,4138,4802,2138,1479,2992,2447,2373,3003,2617,2403,1863,2245,2156,9568,5407,1841,2531,2276,1038,1481,1921,1917,1469,1711,1736,1053,993,1466,1357,5881,1485,2687,2325,1214,1019,1760,1669,1600,1985,1722,1365,1348,1309,1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G370","2015",,,"North Carolina","37",,,,,,,,,,,,,,,,,,"North Carolina",6934715,3403793,185169,199693,216206,128841,90578,243211,218520,209378,437304,484541,451415,336561,155209,47167,3530922,177884,195680,198542,121573,85967,210516,219565,212191,445158,493481,490462,381406,205230,93267,2172492,1018361,71889,76791,80004,47859,38521,90234,69485,61993,128840,135501,119043,65530,26778,5893,1154131,65629,74201,77647,45173,34584,83644,84767,75372,154905,159466,147233,90581,42650,18279,268322,131369,8375,10926,8395,5107,3970,10368,12614,12227,23605,16335,10523,6426,2276,222,136953,8693,8314,8718,5441,4686,7906,11565,14128,26331,16801,14082,7345,2608,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Carolina",14528,8856,3360,5336,5913,2221,3355,4229,3013,3136,4004,2734,1888,1011,2275,2182,8110,3062,5600,5747,2119,3316,3759,2649,3119,3847,2807,1637,1366,3104,2903,10565,8048,3575,4508,4462,2512,2744,3273,2759,2635,4054,3558,1596,2018,1926,1150,5794,2961,3577,4140,2418,2449,3207,2496,2685,3219,2765,1472,1822,2352,1549,5310,3655,1161,1552,1411,765,998,1109,1408,1041,1593,1004,1284,1001,866,235,3278,949,1227,1216,835,987,1173,979,1170,1535,1135,1253,987,632,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G380","2015",,,"North Dakota","38",,,,,,,,,,,,,,,,,,"North Dakota",667900,340933,21725,20908,18326,11119,10357,32579,28080,24811,40417,40505,45433,26876,14147,5650,326967,21854,20128,18134,10643,9664,28214,22510,21648,35226,38564,43606,27038,17129,12609,15681,9883,864,807,579,166,468,1995,1295,1271,1035,749,484,106,64,0,5798,522,340,589,68,398,1264,790,408,219,584,456,151,9,0,10104,4501,257,155,125,87,267,518,783,530,979,462,142,125,0,71,5603,300,286,386,96,35,346,701,1005,403,998,348,454,172,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Dakota",2285,1724,634,1593,1553,528,842,1019,753,468,819,504,316,122,885,882,2073,739,1446,1234,492,759,1032,596,435,583,472,508,115,1100,1085,1519,1282,378,507,422,170,429,671,622,646,545,516,322,174,107,151,1070,362,331,462,78,431,833,365,367,203,318,464,196,15,151,829,621,200,155,123,102,318,283,399,539,354,272,131,111,151,111,711,213,234,323,108,49,290,357,667,269,512,223,303,235,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G390","2015",,,"Ohio","39",,,,,,,,,,,,,,,,,,"Ohio",9519055,4675653,264221,277687,297203,186850,125781,303567,304220,291197,571032,661168,672755,435965,205511,78496,4843402,251963,256839,285923,177650,115116,296648,299294,288683,570638,671917,706423,489457,275704,157147,1426291,674791,50743,55451,53661,32472,21391,58587,50287,43070,83290,85298,77558,38708,18701,5574,751500,49489,55051,51882,32047,22732,59664,54801,48880,93227,94127,91535,55128,29268,13669,233468,109717,7031,7961,6358,3746,4240,8764,11323,10960,18240,13451,9371,5571,2153,548,123751,6777,7277,8553,4391,4181,9430,11446,12969,20630,15465,10701,7817,3111,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ohio",8894,5520,1834,5274,5201,1577,2164,2082,1853,1465,1896,1576,1091,913,3232,3207,5047,1606,5620,5341,1291,1927,2111,1528,1414,2207,1775,1178,859,4270,4270,11547,6560,2065,2938,2963,1627,1299,2523,1802,2085,2138,2114,1314,937,1257,835,7497,2531,3318,3106,1591,1397,2626,1591,1965,2086,1816,1208,1044,1679,1436,4811,2827,1032,1108,1006,730,866,978,1189,1278,1355,1098,808,797,584,282,3129,1010,1251,1228,700,755,1186,979,1279,1465,1257,927,876,568,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G400","2015",,,"Oklahoma","40",,,,,,,,,,,,,,,,,,"Oklahoma",2838386,1401672,87673,86471,86413,52129,37067,95888,95331,97330,175045,182949,187021,130060,65408,22887,1436714,81208,83610,84594,48796,33462,90194,93392,94806,169768,185080,199438,147088,87651,37627,286314,145793,10378,11354,10756,6644,6130,13925,12047,11085,18113,16916,16305,8045,3280,815,140521,8687,8550,10462,5909,4643,12939,11047,10157,18933,17691,16561,9588,3902,1452,78528,36685,2443,2863,2417,990,1054,3814,4341,3442,5311,4495,3135,1578,548,254,41843,2218,2319,2413,2015,1388,3216,4407,3853,6328,5335,4661,2423,1014,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oklahoma",6875,4346,1496,3274,2714,1052,1634,1908,1504,1137,1369,1039,887,599,1695,1643,3816,1421,3282,2936,857,1471,2017,1328,958,1293,1070,1031,736,2179,2074,5378,3789,1363,1714,1396,646,1018,1092,956,1231,1191,1066,927,690,485,318,3312,1426,1288,1568,923,729,1142,842,1013,1397,1021,763,739,462,415,2737,1809,701,647,695,323,388,886,812,524,558,488,499,379,270,165,1550,350,555,619,498,498,756,670,543,513,438,465,489,329,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G410","2015",,,"Oregon","41",,,,,,,,,,,,,,,,,,"Oregon",3433909,1694232,95661,95033,100713,61655,38636,106322,115214,116960,222520,222075,237447,176739,77903,27354,1739677,90099,97066,92220,57127,37837,106472,110961,115362,218262,222958,255855,191776,94684,48998,76980,41639,2884,2494,2510,1487,1124,4064,4320,3028,6018,6053,4713,2078,711,155,35341,1891,2646,2361,2239,764,2581,2765,3252,5381,4831,3689,1920,611,410,164291,74546,3370,4981,3751,3004,2693,7082,6119,6103,12845,9969,7561,4476,1864,728,89745,4125,4913,4248,2789,2735,6634,6999,7822,15538,12892,10876,5931,2251,1992,14239,7155,732,661,177,549,164,694,907,845,1033,538,675,157,23,0,7084,530,553,669,277,39,626,594,953,1009,1366,242,94,132,0,"Oregon",9509,6671,1738,4285,4489,1401,1445,2033,1645,1917,2488,2067,1326,910,2066,2007,5044,1758,3692,3707,1381,1813,2125,1801,1494,2133,1778,1053,958,2859,2826,3389,2491,653,757,592,390,388,768,962,704,1307,951,582,526,234,139,2082,743,644,639,881,420,790,545,607,897,861,638,481,273,258,4505,2698,583,986,919,881,889,1058,857,667,1006,602,693,543,385,377,2830,659,947,750,669,681,1263,862,652,819,924,873,599,481,583,2030,1095,328,551,229,415,204,458,418,552,501,312,371,149,38,197,1369,278,312,410,198,73,453,368,578,664,577,248,114,95,197
"G420","2015",,,"Pennsylvania","42",,,,,,,,,,,,,,,,,,"Pennsylvania",10386678,5085836,266587,278504,291948,187565,137646,325253,334193,316223,597392,735587,762263,501378,249847,101450,5300842,252066,274675,273381,175724,134438,315550,321887,309346,592556,748031,795306,563785,344922,199175,1408512,681423,49585,49556,53610,35085,24687,63613,55143,42865,85713,89161,72340,36995,17711,5359,727089,46625,47343,47035,30358,23764,59163,58330,47333,89563,96163,85866,53819,27821,13906,420116,197213,11176,13687,11834,7020,8470,16543,17896,17940,31163,25848,17843,12094,4653,1046,222903,12968,14186,15725,7977,9104,15887,19669,20234,36661,28701,20759,14106,5476,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pennsylvania",12857,7299,1979,5866,5543,1668,1574,2798,1909,2377,2771,1912,1506,1368,3770,3787,7782,1910,6119,5701,1462,1699,2265,1824,1751,2634,2098,1631,1275,4873,4832,9508,4869,2098,3121,3209,1608,1616,2574,1790,1949,2588,2106,1358,1164,1303,1097,6838,2150,3494,3340,1673,1548,2015,2084,1975,2085,2203,1165,1142,1495,1540,5025,3196,992,1425,1377,827,957,1124,1302,965,1113,1172,945,884,670,455,3529,869,1451,1613,886,1207,1148,915,967,1323,1174,1189,1177,830,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G440","2015",,,"Rhode Island","44",,,,,,,,,,,,,,,,,,"Rhode Island",848845,409836,19332,21765,21183,14406,12669,30583,29603,24518,47274,61287,60319,40246,19523,7128,439009,19135,22003,17658,13203,13793,29630,28354,25463,48517,65548,66136,45698,24729,19142,65504,32739,2355,2681,2565,1177,2053,2224,2915,2793,3780,3880,3502,2155,413,246,32765,2197,1887,2227,1626,1616,2743,2769,3188,3954,3636,3661,2251,509,501,35540,16311,968,1033,1166,519,785,1396,1988,1665,2569,1818,1122,673,609,0,19229,850,926,1222,504,962,2566,2493,2058,2582,2046,1341,1006,483,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rhode Island",6308,3988,859,1719,1386,598,765,1108,1016,993,1067,970,603,502,936,1025,3225,830,1825,1718,546,745,1142,812,753,879,877,750,627,1530,1555,4156,2571,566,1406,676,509,812,686,717,810,507,477,362,458,368,242,2373,520,676,666,600,492,677,662,837,766,456,525,425,334,340,2074,1485,546,462,454,330,412,498,211,547,625,560,403,373,329,206,1279,442,440,557,341,396,311,629,220,659,369,275,507,412,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G450","2015",,,"South Carolina","45",,,,,,,,,,,,,,,,,,"South Carolina",3292094,1621865,89386,90669,96737,61024,45217,111723,106242,99201,200030,222620,217386,180727,76430,24473,1670229,82353,92543,87586,54485,41346,102084,105727,99452,199034,228088,240567,197344,96422,43198,1344114,632608,44688,49328,47651,34306,21948,54981,44844,43738,73872,78044,74329,43793,16452,4634,711506,43747,48824,45834,26940,21656,54307,49099,45339,92703,94947,92699,58527,24961,11923,70342,32691,2124,2528,1675,1103,2062,2171,4114,2046,5274,4503,2856,1616,532,87,37651,1347,2941,2195,1361,1505,3227,2258,2981,5501,5317,4247,2928,1463,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Carolina",7581,4859,2032,3727,3695,1382,1852,2603,2169,1749,2131,2101,948,856,1888,1802,5301,2270,4038,3816,1528,2013,2557,1488,1302,1952,1594,925,611,2427,2381,7124,5790,2383,2750,3172,2549,2056,2666,2426,2996,2561,2311,848,1486,1455,864,5151,2157,3489,4086,1710,1862,2623,2087,2382,2513,2231,923,988,1356,1438,2659,2103,624,721,644,537,852,704,900,675,1216,827,709,455,282,121,1675,460,774,825,699,640,928,675,705,1007,908,978,841,601,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G460","2015",,,"South Dakota","46",,,,,,,,,,,,,,,,,,"South Dakota",725937,364268,22892,24488,21168,13751,10895,24762,22420,24330,41816,46582,52953,34344,16266,7601,361669,22443,21531,20970,12373,9900,23053,21331,22798,39930,45573,52683,34154,22499,12431,13172,8032,659,764,562,358,414,396,840,956,2091,413,354,97,128,0,5140,520,670,597,504,120,196,483,818,835,208,189,0,0,0,11911,4458,281,433,408,253,153,604,284,438,1149,288,167,0,0,0,7453,501,535,597,207,615,845,957,387,1207,653,690,259,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Dakota",2619,1782,605,1589,1633,617,1150,1249,518,548,533,660,412,144,849,823,1478,442,1503,1404,569,945,1050,750,708,688,373,292,202,1295,1225,1389,1055,370,441,322,254,257,296,574,661,840,319,234,119,209,151,910,311,344,331,234,213,213,361,381,289,219,240,151,151,151,1378,943,181,174,268,208,140,511,184,362,395,246,234,151,151,151,1374,289,305,293,172,367,545,602,261,518,431,590,450,151,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G470","2015",,,"Tennessee","47",,,,,,,,,,,,,,,,,,"Tennessee",5129336,2514655,144520,155138,153655,97321,64523,168435,161437,159639,326201,351068,337029,249874,112608,33207,2614681,137555,143593,150850,91000,61984,163590,164186,161639,324186,360485,364471,275723,146779,68640,1110412,526331,39490,37226,43659,25931,18617,47998,42004,36175,66868,67271,58603,29662,9694,3133,584081,38516,38924,38638,25027,18528,49054,46334,40238,76593,77405,71067,38096,18134,7527,107075,48195,2260,4530,3217,2201,1121,4377,3594,4502,7705,6253,5037,2031,1139,228,58880,3066,3746,4048,2116,1911,3297,4041,5124,10747,8895,5779,3484,2069,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tennessee",8520,5773,2086,4493,4966,1680,2508,2973,2241,1975,2814,1454,1331,838,2272,2152,5294,2046,4896,4503,1613,2502,2828,1658,1626,2125,1466,995,745,3680,3520,8543,5221,1725,2870,3016,1170,1726,2648,1716,2326,1948,1600,1586,1185,975,710,5909,2185,3236,2639,1145,1819,2055,1861,1367,2081,1527,1394,1202,1140,1048,3696,2352,890,952,728,668,473,1053,636,1012,1016,815,796,551,415,193,2905,781,797,720,625,834,959,730,1253,1227,1444,865,790,657,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G480","2015",,,"Texas","48",,,,,,,,,,,,,,,,,,"Texas",20587917,10236167,734432,762497,742221,444168,294846,748808,741818,730973,1361862,1309341,1162838,747147,344207,111009,10351750,700055,733282,717021,417813,280232,694321,711499,715521,1346776,1326172,1221773,836733,445955,204597,3298173,1592549,114349,131171,119674,74771,50855,140310,131103,118703,223664,204237,167886,77859,30742,7225,1705624,115051,121929,118921,74435,48909,136791,129775,125410,247405,223704,192255,104397,49513,17129,1248823,608750,38759,41611,44073,23814,13846,44493,54187,52267,106007,83807,57296,32890,13139,2561,640073,35800,40360,40858,22641,16295,40823,53620,57875,116189,86482,67231,41327,15976,4596,20071,9246,245,685,394,266,322,749,1166,954,1794,952,1051,668,0,0,10825,995,455,1130,439,716,1074,1017,918,2123,791,787,226,154,0,"Texas",39722,22017,6977,11158,11245,4720,5509,7302,7251,6018,8107,6950,4213,3693,5747,5069,24132,7136,12533,11788,5201,5049,6757,5785,5893,6913,5717,4724,3443,5508,5378,17739,10374,3677,4617,5855,2457,2724,4575,3623,3492,3971,3575,2199,1876,1712,1053,11074,4239,5535,5338,2892,2956,3797,2743,2832,4247,2886,2543,2128,2269,1747,9581,5760,1712,3268,3072,1854,1229,1810,1948,1876,2259,1594,1878,1190,1101,865,5914,1596,2707,3015,1234,1305,1639,1806,1854,2734,1898,2074,1508,1337,1091,2687,1697,262,418,289,207,279,445,678,498,707,473,530,688,214,214,1611,422,346,451,228,414,715,614,501,703,347,334,240,226,214
"G490","2015",,,"Utah","49",,,,,,,,,,,,,,,,,,"Utah",2611340,1311557,108027,111295,114359,63890,36824,108515,91382,99896,178431,136826,127292,81759,40059,13002,1299783,101559,107636,105704,60418,38820,103863,90706,96488,172084,133633,132972,88668,47298,19934,34524,20666,2383,1997,1917,867,1242,1849,2660,1481,2858,1716,1204,353,71,68,13858,909,1475,1344,1009,881,1452,1523,1378,984,773,1028,215,760,127,68945,31202,2445,2311,1908,1196,1124,2152,3445,3528,4683,3695,2474,1377,621,243,37743,2033,2356,1846,1403,1533,2738,4147,3503,6580,4898,3765,1841,680,420,23886,11619,773,1003,1115,907,419,1700,744,1050,1956,901,418,338,295,0,12267,1115,839,1469,572,272,1660,1227,1022,1350,975,1150,138,478,0,"Utah",11303,6458,1728,3578,3763,976,1384,1746,1500,1226,2041,1455,1050,627,1607,1408,5930,1727,3407,3641,1147,1422,1615,1270,1486,1690,1317,783,722,1784,1666,2077,1566,918,568,735,410,546,604,750,1001,1032,823,400,262,90,89,1495,564,591,519,535,428,541,415,586,369,422,383,248,304,147,2917,1761,544,666,653,401,680,672,502,593,498,602,248,516,398,237,1855,623,655,571,572,703,634,526,481,683,565,489,305,214,195,2762,1401,539,424,558,504,263,800,460,303,599,415,322,225,355,187,2036,734,418,695,488,243,830,619,609,567,650,572,127,378,187
"G500","2015",,,"Vermont","50",,,,,,,,,,,,,,,,,,"Vermont",593056,292291,14357,15330,16247,10548,10622,22022,16737,16579,32650,42241,46129,30917,12956,4956,300765,13295,14673,14876,10614,8735,21475,15793,16810,33774,43987,47813,32695,16780,9445,7996,3975,62,271,425,285,247,519,437,393,472,417,296,124,27,0,4021,534,406,512,211,288,230,268,245,324,420,528,0,29,26,8627,3866,75,137,408,68,551,347,199,434,468,714,355,58,52,0,4761,508,200,121,345,186,537,221,174,751,779,806,55,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vermont",1306,851,165,1236,1278,268,806,694,413,140,220,333,299,87,681,683,892,197,1176,1190,271,604,672,496,211,310,319,228,111,964,933,907,632,84,196,212,183,119,313,273,361,314,245,199,158,48,149,843,329,204,281,172,130,121,214,241,226,272,434,149,53,47,883,698,119,174,253,114,253,160,169,323,283,444,258,86,82,149,626,357,202,117,269,131,254,187,157,291,357,446,84,98,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G510","2015",,,"Virginia","51",,,,,,,,,,,,,,,,,,"Virginia",5718051,2836430,158871,162849,170628,103506,79521,198074,201342,193189,365119,404708,379716,261120,118502,39285,2881621,152575,161711,156111,95742,71997,181067,193266,186996,356598,411295,397436,289860,150777,76190,1612831,772812,53966,55411,50654,35437,24845,66830,59757,53362,99654,107294,90634,48819,19495,6654,840019,50257,54615,51944,33253,24140,65479,60690,57779,107291,121136,106182,61879,31427,13947,524476,247105,13746,17815,15829,9146,6724,20395,17169,22120,42743,34829,24749,14774,5875,1191,277371,13550,15157,17927,9420,7333,15775,21350,24343,52493,39809,31847,18552,6855,2960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virginia",14388,9441,2776,5285,4957,1902,2438,3094,2750,2961,3671,3326,1866,1133,2444,2247,7670,3080,4920,4653,2392,3070,3484,2605,2057,3019,2400,1473,1111,3070,2962,11194,7010,2516,3694,3464,1708,2142,3323,2767,2324,3131,2112,2190,1551,1511,1221,6972,2918,3427,3447,2069,1946,3167,2142,2475,3158,2191,1946,1632,1966,1667,6496,4203,1109,1671,1684,870,1180,1435,1497,1448,1834,1180,844,986,954,528,4331,1351,1448,1476,1091,1080,1614,1243,1487,1576,1257,1532,1138,858,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G530","2015",,,"Washington","53",,,,,,,,,,,,,,,,,,"Washington",5513655,2762678,155563,164519,157262,99453,65067,184062,201348,194868,352038,381409,386994,264049,117070,38976,2750977,147863,155819,146978,92483,59469,167372,188250,185107,337972,375685,400740,281687,135212,76340,262552,143063,11204,9205,9046,5885,3391,13988,11772,11903,21200,19754,15882,7093,1965,775,119489,8387,7573,9625,5317,2701,11370,10180,10674,16150,15241,12833,5828,2076,1534,568108,262743,14568,13486,14335,9164,6475,20934,25540,25727,42623,36221,27631,16479,8107,1453,305365,14456,13979,15874,8659,6694,18817,26380,28647,53174,43743,36164,22971,10765,5042,46453,22103,1905,1729,1942,430,963,2174,2311,2100,3173,2677,1384,982,333,0,24350,1129,1980,1608,1866,1363,2908,1941,1705,3990,2391,1737,1090,626,16,"Washington",12496,8091,2163,4567,4836,1638,1809,2687,2297,2015,2653,2192,1467,1195,2471,2357,7674,1927,4782,4819,1727,2088,2943,1813,1556,2369,1970,1551,1050,3398,3212,7397,4299,1301,1880,1695,828,666,1592,1549,1171,1238,1454,1084,666,466,411,4214,1076,1334,1385,1167,643,1425,1286,1325,1166,1152,826,700,479,588,7057,4736,1500,1588,1674,1080,941,1633,1681,1337,1769,1180,938,693,751,612,4283,1597,1573,1728,1107,667,1500,1364,1360,1468,1387,1164,955,1104,1043,2417,1506,597,615,798,525,468,790,879,662,794,739,671,554,309,195,1826,491,619,591,685,684,816,485,491,1001,700,547,559,518,27
