GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,LIJE001,LIJE002,LIJE003,LIJE004,LIJE005,LIJE006,LIJE007,LIJE008,LIJE009,LIJE010,LIJE011,LIJE012,LIJE013,LIJE014,LIJE015,LIJE016,LIJE017,LIJE018,LIJE019,LIJE020,LIJE021,LIJE022,LIJE023,LIJE024,LIJE025,LIJE026,LIJE027,LIJE028,LIJE029,LIJE030,LIJE031,LILE001,LILE002,LILE003,LILE004,LILE005,LILE006,LILE007,LILE008,LILE009,LILE010,LILE011,LILE012,LILE013,LILE014,LILE015,LILE016,LILE017,LILE018,LILE019,LILE020,LILE021,LILE022,LILE023,LILE024,LILE025,LILE026,LILE027,LILE028,LILE029,LILE030,LILE031,LIPE001,LIPE002,LIPE003,LIPE004,LIPE005,LIPE006,LIPE007,LIPE008,LIPE009,LIPE010,LIPE011,LIPE012,LIPE013,LIPE014,LIPE015,LIPE016,LIPE017,LIPE018,LIPE019,LIPE020,LIPE021,LIPE022,LIPE023,LIPE024,LIPE025,LIPE026,LIPE027,LIPE028,LIPE029,LIPE030,LIPE031,LIRE001,LIRE002,LIRE003,LIRE004,LIRE005,LIRE006,LIRE007,LIRE008,LIRE009,LIRE010,LIRE011,LIRE012,LIRE013,LIRE014,LIRE015,LIRE016,LIRE017,LIRE018,LIRE019,LIRE020,LIRE021,LIRE022,LIRE023,LIRE024,LIRE025,LIRE026,LIRE027,LIRE028,LIRE029,LIRE030,LIRE031,NAME_M,LIJM001,LIJM002,LIJM003,LIJM004,LIJM005,LIJM006,LIJM007,LIJM008,LIJM009,LIJM010,LIJM011,LIJM012,LIJM013,LIJM014,LIJM015,LIJM016,LIJM017,LIJM018,LIJM019,LIJM020,LIJM021,LIJM022,LIJM023,LIJM024,LIJM025,LIJM026,LIJM027,LIJM028,LIJM029,LIJM030,LIJM031,LILM001,LILM002,LILM003,LILM004,LILM005,LILM006,LILM007,LILM008,LILM009,LILM010,LILM011,LILM012,LILM013,LILM014,LILM015,LILM016,LILM017,LILM018,LILM019,LILM020,LILM021,LILM022,LILM023,LILM024,LILM025,LILM026,LILM027,LILM028,LILM029,LILM030,LILM031,LIPM001,LIPM002,LIPM003,LIPM004,LIPM005,LIPM006,LIPM007,LIPM008,LIPM009,LIPM010,LIPM011,LIPM012,LIPM013,LIPM014,LIPM015,LIPM016,LIPM017,LIPM018,LIPM019,LIPM020,LIPM021,LIPM022,LIPM023,LIPM024,LIPM025,LIPM026,LIPM027,LIPM028,LIPM029,LIPM030,LIPM031,LIRM001,LIRM002,LIRM003,LIRM004,LIRM005,LIRM006,LIRM007,LIRM008,LIRM009,LIRM010,LIRM011,LIRM012,LIRM013,LIRM014,LIRM015,LIRM016,LIRM017,LIRM018,LIRM019,LIRM020,LIRM021,LIRM022,LIRM023,LIRM024,LIRM025,LIRM026,LIRM027,LIRM028,LIRM029,LIRM030,LIRM031
"G340","2011",,,"New Jersey","34",,,,,,,,,,,,,,,,,,"New Jersey",6104543,2975490,168751,180225,197675,123541,75645,180244,176606,174744,387264,490219,404104,228566,135244,52662,3129053,158852,177617,182601,117004,69974,169149,169627,173067,399198,501896,435155,268218,194973,111722,1182905,554563,38563,38970,47049,29846,21218,44890,38189,37083,78673,81070,53321,29499,13090,3102,628342,38971,39401,43714,28799,18193,44191,43557,43710,90364,94445,69835,41097,22252,9813,747620,365462,25544,25005,25783,14284,9632,20138,27717,33870,67530,51370,36673,19175,6542,2199,382158,23969,28877,20869,13277,7481,21816,30661,37192,68197,56417,40502,20610,8518,3772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Jersey",20959,11587,2920,4982,5417,2050,1653,2922,2755,2725,3669,2758,2289,1412,3473,3095,12584,2731,5845,4996,1718,1335,2571,2610,2658,3591,3345,1941,1720,4774,4289,11416,5794,1744,2810,2796,1406,1351,2022,1614,1647,1917,1597,1144,848,919,704,7145,1930,2519,2172,1444,1184,1775,1864,1292,1936,1599,947,884,1394,1372,6615,3616,1313,2036,1950,830,963,1149,1095,1247,1890,938,862,1011,904,627,3959,1144,2165,1999,807,794,1452,1190,920,1540,944,670,991,1104,839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G350","2011",,,"New Mexico","35",,,,,,,,,,,,,,,,,,"New Mexico",1492790,736600,47438,46524,49803,28788,19436,50391,50888,46974,86211,102025,100550,63435,33656,10481,756190,45626,44866,48389,25651,19474,47928,47508,45181,81940,109585,110379,71907,39337,18419,44365,25923,1746,2203,2380,1111,1353,1798,2413,2200,3154,3158,2616,996,720,75,18442,1668,1163,1889,505,817,1354,1219,1302,2030,1915,2249,1606,497,228,25637,11292,563,718,1261,401,243,1905,643,988,1687,639,1113,566,247,318,14345,739,498,635,189,261,1276,589,1262,2637,2036,2507,882,644,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Mexico",15175,8010,2603,2988,3090,1865,1917,2778,2273,2194,2274,2224,1887,1215,1756,1485,8801,1985,3385,3562,1708,2219,1900,1934,1940,2401,2127,1647,1594,1872,1907,3969,2371,582,966,922,335,460,989,1020,822,938,992,552,469,318,138,2817,731,753,949,347,580,672,717,695,981,659,654,778,262,194,1939,1244,377,303,566,323,192,736,400,525,638,298,379,361,203,271,1352,504,344,339,221,218,535,263,590,574,577,521,366,358,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G360","2011",,,"New York","36",,,,,,,,,,,,,,,,,,"New York",12710382,6217071,344193,355025,369681,239346,171032,430972,424397,395667,808277,961002,842266,479239,286330,109644,6493311,324153,337922,346219,224395,166408,423038,422112,394222,795384,978954,891131,560428,401182,227763,3036099,1403210,102021,100289,106943,71906,50405,126878,101063,94552,184445,201883,143884,74487,33976,10478,1632889,95824,95872,106296,70873,49959,127892,117400,109638,221760,247931,183847,114116,62941,28540,1447760,698729,41730,42644,39672,27319,20039,57522,62521,57991,108061,102151,78435,38002,18711,3931,749031,37427,37440,39521,23601,18783,58791,69828,69325,125098,108662,84658,45254,22011,8632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New York",29843,17220,3949,7131,7107,2717,2157,3803,4256,3401,5256,3615,3202,2696,4012,4039,17508,3522,7587,7374,2444,2875,3950,4041,3579,4650,4655,3272,2731,5086,5261,16183,9442,2724,4581,4383,2133,1882,2636,2468,2302,2781,2985,2434,1409,1762,1282,10193,2502,5157,4572,2058,2290,2915,1988,2357,2717,2984,2439,1736,2794,2507,9725,5878,1694,2438,2387,1066,1270,2121,1848,1462,2404,1600,1392,919,1005,753,5942,1675,2400,2353,1160,1548,1973,1681,1384,2112,1603,1313,1152,1526,1343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G370","2011",,,"North Carolina","37",,,,,,,,,,,,,,,,,,"North Carolina",6768523,3317972,193871,207373,212682,122256,94003,230916,208341,211930,459562,491484,433421,273077,140088,38968,3450551,194658,191753,205604,117200,90818,214666,206140,210496,458565,501893,469589,310606,191668,86895,2091558,976533,73870,72706,84979,47226,39953,83763,61501,61970,127794,138721,105810,51998,19291,6951,1115025,73416,75303,76418,48528,37055,85908,72462,77356,155279,159777,129182,68548,41140,14653,211328,101171,6728,7045,7887,3548,3418,8381,9899,9909,19739,12305,7502,3548,1045,217,110157,7148,7806,8405,4582,4725,5967,9460,10848,19423,14852,9909,4713,1711,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Carolina",16949,10435,3123,7383,7186,2972,4093,5154,3306,2820,3455,3352,1637,1021,2731,2454,10986,4253,7540,6650,2547,3933,4187,3042,4174,3836,2616,2007,1313,4507,4489,11959,7870,3496,3863,3767,2414,2710,3249,2482,3002,3823,4038,2097,2045,1497,1188,7913,2792,4414,4261,2450,2398,3004,2312,3469,3259,2624,1814,1758,2127,1838,5649,3964,1004,1541,1427,933,933,1193,1020,1143,1925,1089,1147,766,488,308,3540,1211,1553,1483,1123,1364,1048,1365,1413,1640,1439,1261,879,646,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G380","2011",,,"North Dakota","38",,,,,,,,,,,,,,,,,,"North Dakota",614327,310218,18788,17915,16183,10767,10006,28579,24476,20411,34953,44282,42081,22230,13645,5902,304109,18284,18195,15199,10655,8933,24456,21101,17756,32316,43618,39826,23699,18665,11406,6857,4088,51,420,594,98,487,623,299,543,570,164,147,92,0,0,2769,243,96,284,319,266,637,106,69,408,167,49,125,0,0,7070,3346,193,131,83,146,58,660,970,429,342,191,143,0,0,0,3724,95,340,54,288,81,391,480,303,688,560,326,108,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Dakota",1430,1069,310,1198,1205,376,597,668,659,258,259,299,115,141,749,743,844,408,1153,1112,365,500,620,452,74,285,316,291,14,1098,1094,1255,814,81,286,368,126,498,309,243,329,236,165,191,91,143,143,905,300,101,240,257,238,517,109,90,294,134,79,120,143,143,1051,697,183,171,118,140,58,382,502,374,232,161,146,143,143,143,681,162,208,76,358,97,213,199,290,278,274,257,129,17,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G390","2011",,,"Ohio","39",,,,,,,,,,,,,,,,,,"Ohio",9566847,4685292,271776,295641,305715,192003,131325,311521,291795,287227,599548,719545,646649,359568,201864,71115,4881555,259386,281141,291583,182488,123030,305385,289177,285837,600499,739899,678020,412701,288783,143626,1396483,665678,51910,52875,52834,35794,27219,55321,42175,43031,85355,93803,70224,32343,16810,5984,730805,49317,50512,53761,33063,26666,56766,48345,48672,92868,101960,83704,45340,27956,11875,194814,91417,6222,6563,5633,3224,2458,8159,9998,7652,15427,11703,8302,4433,1160,483,103397,6051,7892,5411,4267,3049,8100,10044,8879,17424,14323,9275,5510,2591,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ohio",8300,5569,1922,6563,6704,1161,1982,2098,1293,1571,2104,1494,918,626,3332,3173,4509,1670,6106,6040,1265,1866,1727,1504,1178,1402,1072,1093,685,4614,4448,10548,5960,2400,3445,2591,1470,1721,1733,1549,1979,1910,1914,1173,831,1027,842,6135,2334,2671,3202,1252,1525,2178,1727,1486,1902,1945,1172,890,1172,1171,5015,3088,1043,1125,1194,1031,658,1426,1012,917,1324,1059,753,652,326,333,3358,1010,1255,985,1019,927,1166,1043,994,1529,1199,711,973,739,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G400","2011",,,"Oklahoma","40",,,,,,,,,,,,,,,,,,"Oklahoma",2792094,1378857,83982,85105,87856,50781,39268,95728,96528,91473,171624,198433,181172,114910,61944,20053,1413237,81445,79667,82752,47598,34472,94746,92940,87347,167574,202216,192269,128816,84222,37173,275392,136884,11799,11396,10302,6911,5794,12581,10207,10063,18560,16983,13017,6124,2587,560,138508,10326,9753,9620,7676,5763,11022,10911,8660,17526,18969,15002,7342,4621,1317,65513,30429,2374,1796,1713,1077,1519,2839,3144,3089,5274,3118,2470,1539,477,0,35084,1723,2486,1606,1009,644,2807,3549,3404,6932,3872,4024,1938,895,195,5393,2992,578,402,229,104,35,254,181,220,274,507,43,165,0,0,2401,464,288,216,115,12,301,374,273,169,124,56,9,0,0,"Oklahoma",7616,4132,1420,2947,2858,1183,2041,2060,1290,1399,1541,1110,752,428,1590,1533,4753,1561,2925,3252,1219,1321,1662,1200,1183,1468,891,837,524,2077,2083,4430,2989,1265,1522,1507,786,752,1103,945,1186,1233,989,853,463,330,250,3357,1091,1413,1469,881,827,939,925,929,1145,1032,693,748,570,435,3141,2186,810,596,585,456,637,870,799,729,700,399,367,411,323,163,1586,589,562,510,375,511,488,707,688,741,509,507,511,475,150,1210,790,236,289,281,112,51,149,174,219,235,354,51,95,163,163,678,231,242,149,150,22,288,183,229,164,162,95,15,163,163
"G410","2011",,,"Oregon","41",,,,,,,,,,,,,,,,,,"Oregon",3279357,1619275,93458,92070,98838,59217,41197,104582,109759,110748,211646,230102,234931,136625,70266,25836,1660082,87727,87949,92408,55845,37419,106777,107159,108534,203612,236459,248891,147723,89996,49583,70067,37129,3031,3165,3493,1145,1570,2427,3087,3031,5490,4950,3514,1430,591,205,32938,3276,2116,2676,1759,1565,3817,2211,2167,3909,3846,3194,1527,712,163,152909,69531,4530,4695,5184,2810,2510,6121,5596,5840,11616,8835,6300,3616,1271,607,83378,4283,4868,5763,2666,1618,7649,6910,6761,14141,11661,9037,4775,2194,1052,15100,8069,532,1404,837,689,274,724,359,470,1381,965,373,61,0,0,7031,626,554,711,311,232,298,617,658,1387,1034,457,146,0,0,"Oregon",12288,7309,2170,3576,3562,1158,1789,2237,1799,1862,2411,1633,1028,1073,1920,1874,6526,2060,4044,4150,1324,1763,2377,1259,1528,1755,1513,1119,713,2413,2462,2807,1977,706,836,1143,513,729,698,678,730,885,833,488,300,249,138,2050,1267,589,1005,540,746,946,452,398,622,473,490,297,262,164,4397,3004,928,977,1141,669,606,1094,667,922,1135,834,523,649,405,407,2554,820,951,991,602,707,1125,1070,714,1057,1040,850,620,565,509,2454,1757,269,634,719,536,295,447,281,299,641,567,325,70,203,203,1111,460,417,504,253,338,294,393,562,554,509,455,201,203,203
"G420","2011",,,"Pennsylvania","42",,,,,,,,,,,,,,,,,,"Pennsylvania",10485910,5118869,272353,289533,305848,201423,149068,347842,317717,296679,639057,806563,729636,416118,252033,94999,5367041,262017,278407,288931,189238,147005,336164,309549,292556,642147,825184,760825,476436,356469,202113,1372685,658348,49344,46598,52991,38111,28402,61614,44982,43981,83567,91529,64837,32029,15337,5026,714337,45863,46814,48161,33665,29309,60079,46640,46915,91205,101632,78776,44539,28196,12543,358168,171365,10521,11350,11933,6716,6140,16282,14380,15628,28853,22329,14909,8678,2797,849,186803,11333,10852,12422,6134,7934,14434,17827,16921,31522,24643,18460,9019,4365,937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pennsylvania",11661,7266,2375,5460,6469,1367,1467,2539,2037,2116,2263,1941,1879,1262,3410,3297,6663,2060,6261,6410,1554,1839,2316,1842,1814,2024,1814,1636,818,4549,4550,12132,7023,1923,3247,3284,1589,1920,2227,1567,1736,2503,2042,1464,1195,1039,919,6837,2009,2790,3185,1295,1581,2351,1819,1742,2088,2217,971,1333,1553,1283,4389,2814,1089,1182,1418,652,846,1160,1084,991,1270,1204,837,683,455,358,2816,1090,1279,1524,795,1128,1137,1127,904,1285,1271,925,625,757,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G440","2011",,,"Rhode Island","44",,,,,,,,,,,,,,,,,,"Rhode Island",859000,412329,19794,22463,22017,16228,13727,32725,25379,22933,52571,66521,58405,32493,19209,7864,446671,19236,22222,22739,14050,14631,32300,24836,23516,54698,71423,62881,37887,28557,17695,63397,31185,3124,2092,3422,1262,1193,3293,2506,2502,4203,3358,2775,638,621,196,32212,2523,2772,2499,1442,1556,3171,2632,2310,4417,4313,2575,1189,602,211,33235,15740,1078,1084,1093,698,1104,1334,1905,1418,2654,1234,1160,363,615,0,17495,921,845,1232,710,842,1975,2092,1668,2863,1625,1379,811,341,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rhode Island",5950,3489,865,1591,1729,699,786,1053,861,751,1011,842,603,415,1181,1163,3324,916,1923,1745,703,749,948,722,665,1083,890,793,354,1720,1653,3762,1995,684,702,982,339,473,737,722,479,481,755,315,281,294,192,2492,529,804,667,463,375,456,556,337,684,771,616,248,247,237,1460,1273,226,544,448,490,448,326,358,325,615,497,427,275,443,207,868,200,376,567,249,348,459,435,543,581,591,208,309,206,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G450","2011",,,"South Carolina","45",,,,,,,,,,,,,,,,,,"South Carolina",3135216,1540424,88864,88842,96316,56798,44114,110449,95812,95050,200959,222688,210703,143128,68152,18549,1594792,86849,89244,88925,50599,40590,103103,96852,93747,200451,229614,228813,157283,91130,37592,1305093,613511,49497,48369,46650,31828,27605,50986,40842,38944,78973,80062,69081,33295,14616,2763,691582,48891,47367,47054,27245,26603,53785,45697,46479,88067,97761,83716,44876,23655,10386,63356,28772,1692,1209,2405,818,1101,2217,2923,2900,4847,4026,2975,1453,206,0,34584,2623,1818,1914,1306,1697,2101,1552,3909,5605,4690,4685,1799,805,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Carolina",8956,5494,1809,4072,4206,1574,2567,3561,2077,2178,2699,1392,1180,710,1993,2015,5370,1629,4525,4754,1536,1549,2299,1724,2245,1976,1545,818,739,2698,2759,7192,4214,1924,2952,3352,1605,2193,2667,1991,2136,2640,2325,1317,1373,1447,673,5042,2080,3711,3724,1606,2460,2517,1817,2382,2592,1920,1104,1385,1611,1247,2782,2235,878,590,779,601,413,764,992,847,1440,1370,839,799,227,217,1911,1300,838,827,1071,607,808,575,1092,1271,1083,1072,813,536,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G460","2011",,,"South Dakota","46",,,,,,,,,,,,,,,,,,"South Dakota",707944,352799,23053,21764,22136,12664,10379,25693,23025,22049,41566,52024,48584,27232,15691,6939,355145,22182,20410,20986,13267,11033,22045,21947,21560,39621,51526,47114,28994,21353,13107,9517,5051,430,919,112,99,68,480,674,516,962,621,0,76,94,0,4466,974,665,429,175,53,356,804,459,195,173,183,0,0,0,7855,3403,73,123,300,283,75,450,908,179,336,400,0,276,0,0,4452,341,439,576,91,34,808,411,157,316,881,235,86,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Dakota",2394,1786,476,1368,1375,696,1190,1253,714,429,733,618,63,279,850,811,1805,557,1608,1749,607,1309,1312,485,724,779,487,149,305,1206,1243,1203,742,306,321,127,167,107,298,384,421,391,335,155,110,164,155,804,281,381,382,135,100,235,414,427,151,222,204,155,155,155,869,699,115,117,324,275,118,414,506,211,226,264,155,219,155,155,759,232,335,387,73,73,580,241,139,196,490,199,154,109,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G470","2011",,,"Tennessee","47",,,,,,,,,,,,,,,,,,"Tennessee",4990068,2440774,141283,144575,164690,96241,66644,160997,150194,156437,328472,364357,328322,208482,99670,30410,2549294,138541,144291,149832,88316,60554,159987,157020,156135,328722,376598,351631,232616,138935,66116,1071463,504291,39990,40556,42290,26138,20306,44364,36682,33989,65862,68691,52925,20158,10376,1964,567172,39078,39417,41248,26846,19676,46663,40665,41358,74391,79419,63376,30262,16341,8432,92286,42333,2944,3081,2551,2479,1298,3035,3077,3398,7570,6226,3604,2170,825,75,49953,2781,3626,3483,1906,1251,3044,4714,4584,9300,6616,4507,2360,1771,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tennessee",8309,4896,1814,5369,4726,1799,2568,3229,2114,2007,2373,1510,1087,749,2305,2222,5510,2158,4704,4121,1810,2624,2889,1745,1761,2233,1238,841,835,3179,3215,6624,5020,1765,2406,3336,1393,1350,1990,1718,2251,2308,2457,1698,733,943,534,5316,1965,2683,2504,1705,1256,2184,1528,1755,2155,2368,1408,1241,1099,1209,4046,2438,689,874,738,859,548,792,810,771,1396,1056,691,707,370,121,2441,712,935,988,747,576,794,1107,898,1205,1017,809,768,630,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G480","2011",,,"Texas","48",,,,,,,,,,,,,,,,,,"Texas",19149157,9522332,714648,734857,691097,416367,283920,692943,680406,657162,1286989,1298362,1056256,606049,307811,95465,9626825,674838,682225,676784,391892,263131,653002,659173,648030,1280258,1314612,1110112,674756,411731,186281,3011795,1457905,118806,117067,121838,75523,56623,118939,108538,106378,202013,203212,136106,59770,26576,6516,1553890,111838,113638,113656,68917,48164,122089,112802,119363,218709,221574,163475,78195,41300,20170,999118,484252,34377,34719,36261,19337,12753,35610,38146,41979,88450,66125,42852,23201,8735,1707,514866,33921,35596,32171,19035,12195,33711,42589,48025,93565,69604,52345,27726,11782,2601,18726,11611,293,874,1353,901,728,1643,463,799,2196,991,1181,168,21,0,7115,421,195,692,293,416,839,784,715,1113,660,932,55,0,0,"Texas",45618,24922,7351,13536,12886,5787,5136,6853,5915,6634,7643,6762,4527,3297,3894,3368,25978,7595,11000,11725,4191,5272,8294,6882,4853,7659,6276,4833,3422,7007,5829,13895,9787,3543,5858,5488,2569,3479,4552,3655,2644,3634,3896,2390,1849,1485,1194,7982,3443,5706,6179,2540,2609,3207,2769,3047,3527,3615,2399,2145,2055,1731,10194,6593,2144,3052,3296,1067,1813,2101,2554,1981,2455,2127,1713,1423,1158,723,5562,2048,3129,3063,1403,1745,1784,1713,1411,2681,2311,1699,1464,1278,727,4172,2808,337,581,969,680,502,922,344,711,1092,671,1090,178,60,218,1965,455,234,477,261,253,997,434,566,628,424,815,93,218,218
"G490","2011",,,"Utah","49",,,,,,,,,,,,,,,,,,"Utah",2486869,1245381,113016,114934,100709,56838,37955,102531,98004,100933,155024,136484,116382,64764,35138,12669,1241488,109309,100558,104243,54711,41945,98052,95568,96850,148145,138660,119418,71354,43258,19417,32524,19261,1810,2544,2242,1407,393,2095,747,1512,3181,1538,1416,157,219,0,13263,1895,1826,1798,512,507,1050,1241,1521,1114,649,1004,105,41,0,56679,26292,2628,1188,1493,828,1192,2644,2537,1911,4273,3263,2754,986,470,125,30387,1535,2896,1652,966,970,2460,3156,2412,4427,4693,2989,1071,876,284,27209,14741,1700,1648,1456,804,811,1992,837,810,2165,799,753,431,434,101,12468,1226,1812,1712,229,466,1642,974,681,1441,820,640,457,317,51,"Utah",10393,6154,1614,4361,4388,1301,1326,1745,1585,1600,2118,1479,771,547,1570,1601,5489,1518,3831,3969,1474,1186,1415,1210,1380,2131,1318,812,679,1695,1743,3943,2269,571,767,994,448,373,645,442,606,876,687,603,250,175,192,2415,802,825,823,429,328,515,735,639,455,524,474,137,81,192,3028,1911,795,499,671,239,443,660,611,412,431,487,662,300,204,142,1762,620,580,531,280,360,641,593,582,578,645,455,211,255,198,2416,1937,618,604,532,478,460,808,407,381,568,405,376,456,340,130,1331,401,496,707,264,355,622,519,468,590,540,245,256,285,93
"G500","2011",,,"Vermont","50",,,,,,,,,,,,,,,,,,"Vermont",596253,293593,14531,14744,18818,11403,9864,21674,16567,16540,35910,47360,44964,24627,13232,3359,302660,13923,15081,16865,10955,9316,20089,16467,16853,36516,49448,45977,26293,16827,8050,5194,2648,268,330,197,74,169,273,419,124,398,264,118,0,11,3,2546,107,45,422,254,211,184,505,246,126,290,96,17,20,23,7733,2683,4,223,174,136,104,188,180,124,879,130,385,124,0,32,5050,136,271,403,302,429,555,70,169,1510,599,251,296,0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vermont",999,738,188,1101,1124,253,448,503,107,334,312,238,293,147,658,662,847,182,1025,1090,344,338,429,111,465,284,358,160,122,888,888,937,691,300,217,159,65,146,201,292,175,316,198,98,145,21,8,550,108,59,384,224,143,179,364,240,87,195,160,31,29,38,983,679,9,175,121,125,113,149,200,107,431,190,259,137,145,66,697,123,247,206,190,351,260,92,130,455,359,208,114,145,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G510","2011",,,"Virginia","51",,,,,,,,,,,,,,,,,,"Virginia",5615742,2784842,158675,168549,173406,105173,79665,196034,193361,181453,378276,428563,366445,214518,107880,32844,2830900,151579,161976,155751,96711,75419,184809,180771,175145,373950,434882,386897,237733,141483,73794,1581452,754134,55402,50343,60448,38328,28559,65234,52550,51302,101782,110019,79385,37995,18631,4156,827318,54414,55615,55774,33015,29232,64749,56551,57144,112709,122181,94256,49250,27656,14772,455242,212686,15998,12901,15082,8077,6002,15440,17696,17116,41503,29026,18787,10472,3510,1076,242556,15439,15409,14638,8373,6378,13689,21388,21651,45856,33388,26847,12469,5508,1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virginia",14273,8869,2688,6061,5977,2898,3040,3579,3994,3054,3204,2077,1542,980,2495,2439,8379,2696,5929,5922,2383,3360,3455,2524,2698,2961,2124,1491,1099,3367,3300,10391,7326,2790,3386,3387,2230,2225,3346,2544,3129,3093,2878,1676,1511,1502,796,7029,2807,4273,3619,1736,2342,2560,1932,2565,2859,2444,1805,1461,1771,1776,7971,5011,1352,1865,2245,979,1108,1894,1986,1245,1819,1970,1434,1140,873,478,4259,1263,1626,1869,1104,1107,1629,1787,1191,2012,1472,1337,1132,960,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G530","2011",,,"Washington","53",,,,,,,,,,,,,,,,,,"Washington",5357161,2674550,156017,155103,163465,100084,69748,186430,189266,180214,353664,402898,368931,207234,101033,40463,2682611,145655,146933,154497,94431,66792,170561,176856,172629,342116,402892,384277,221302,131802,71868,239665,131585,10101,8516,9742,4735,3948,11131,10924,11139,20720,21002,12163,5255,1846,363,108080,9126,6934,8131,5199,2533,10356,9537,8029,15340,13950,10347,4608,2739,1251,501712,231518,14951,15624,14874,9460,5950,18609,21017,19914,37688,30858,23818,12290,5052,1413,270194,12867,15346,14707,8302,7129,18711,21903,24308,45973,39724,32086,16476,9175,3487,40300,20069,1302,2173,1557,1162,264,2033,1809,1570,3513,2277,2145,197,67,0,20231,1029,1610,2582,949,575,2998,1335,1098,4136,1703,1069,1079,68,0,"Washington",15858,8727,2649,4991,4595,1264,1995,3309,2388,2313,2353,2072,1532,1133,2411,2213,9000,2376,4839,5220,1887,2251,2716,1625,2462,2531,1874,1388,1127,3147,3078,6363,3999,1382,1396,1754,893,705,1501,1230,1657,1893,1402,1012,676,354,279,3955,1478,1581,1518,918,870,1505,934,740,1411,843,1096,419,741,464,7684,4544,1318,1859,1877,1161,661,1418,1294,1252,1518,1313,1062,753,633,460,4652,1497,1618,1757,1090,851,1517,1267,1505,1539,1272,1297,929,1043,864,2479,1606,362,705,599,496,189,675,509,679,959,745,593,183,108,201,1796,259,535,707,529,385,764,673,530,887,687,492,697,109,201
"G540","2011",,,"West Virginia","54",,,,,,,,,,,,,,,,,,"West Virginia",1741915,856037,48271,49520,51377,31862,23691,57669,48633,50918,111799,126013,128577,76837,39551,11319,885878,45350,47340,48333,30421,23134,53957,50166,52375,109975,128825,133029,83908,54689,24376,56178,30147,1935,1629,1409,1303,1152,3189,2347,3360,3444,4269,3396,1407,1099,208,26031,925,1037,1784,1284,1537,2007,1764,1375,2835,4484,2643,2205,1372,779,11492,5234,780,229,673,58,271,816,427,461,516,300,378,217,108,0,6258,90,248,383,97,370,532,537,340,1368,524,1265,412,36,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Virginia",2269,2067,1474,2901,2794,1065,1419,2134,1000,902,1174,485,410,360,1108,1082,2580,1593,2703,2737,1264,1418,1348,1120,889,978,788,523,315,1957,1948,2868,2385,787,692,631,530,474,917,692,888,917,1113,762,581,454,161,1968,559,366,480,445,595,924,628,530,815,936,584,633,576,358,1378,862,359,190,464,78,205,484,327,427,308,192,211,111,142,184,941,99,185,369,131,365,303,463,190,503,296,612,232,49,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
