GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,IG5E001,IG5E002,IG5E003,IG5E004,IG5E005,IG5E006,IG5E007,IG5E008,IG5E009,IG5E010,IG5E011,IG5E012,IG5E013,IG5E014,IG5E015,IG5E016,IG5E017,IG5E018,IG5E019,IG5E020,IG5E021,IG5E022,IG5E023,IG5E024,IG5E025,IG5E026,IG5E027,IG5E028,IG5E029,IG5E030,IG5E031,IG7E001,IG7E002,IG7E003,IG7E004,IG7E005,IG7E006,IG7E007,IG7E008,IG7E009,IG7E010,IG7E011,IG7E012,IG7E013,IG7E014,IG7E015,IG7E016,IG7E017,IG7E018,IG7E019,IG7E020,IG7E021,IG7E022,IG7E023,IG7E024,IG7E025,IG7E026,IG7E027,IG7E028,IG7E029,IG7E030,IG7E031,IHBE001,IHBE002,IHBE003,IHBE004,IHBE005,IHBE006,IHBE007,IHBE008,IHBE009,IHBE010,IHBE011,IHBE012,IHBE013,IHBE014,IHBE015,IHBE016,IHBE017,IHBE018,IHBE019,IHBE020,IHBE021,IHBE022,IHBE023,IHBE024,IHBE025,IHBE026,IHBE027,IHBE028,IHBE029,IHBE030,IHBE031,IHDE001,IHDE002,IHDE003,IHDE004,IHDE005,IHDE006,IHDE007,IHDE008,IHDE009,IHDE010,IHDE011,IHDE012,IHDE013,IHDE014,IHDE015,IHDE016,IHDE017,IHDE018,IHDE019,IHDE020,IHDE021,IHDE022,IHDE023,IHDE024,IHDE025,IHDE026,IHDE027,IHDE028,IHDE029,IHDE030,IHDE031,NAME_M,IG5M001,IG5M002,IG5M003,IG5M004,IG5M005,IG5M006,IG5M007,IG5M008,IG5M009,IG5M010,IG5M011,IG5M012,IG5M013,IG5M014,IG5M015,IG5M016,IG5M017,IG5M018,IG5M019,IG5M020,IG5M021,IG5M022,IG5M023,IG5M024,IG5M025,IG5M026,IG5M027,IG5M028,IG5M029,IG5M030,IG5M031,IG7M001,IG7M002,IG7M003,IG7M004,IG7M005,IG7M006,IG7M007,IG7M008,IG7M009,IG7M010,IG7M011,IG7M012,IG7M013,IG7M014,IG7M015,IG7M016,IG7M017,IG7M018,IG7M019,IG7M020,IG7M021,IG7M022,IG7M023,IG7M024,IG7M025,IG7M026,IG7M027,IG7M028,IG7M029,IG7M030,IG7M031,IHBM001,IHBM002,IHBM003,IHBM004,IHBM005,IHBM006,IHBM007,IHBM008,IHBM009,IHBM010,IHBM011,IHBM012,IHBM013,IHBM014,IHBM015,IHBM016,IHBM017,IHBM018,IHBM019,IHBM020,IHBM021,IHBM022,IHBM023,IHBM024,IHBM025,IHBM026,IHBM027,IHBM028,IHBM029,IHBM030,IHBM031,IHDM001,IHDM002,IHDM003,IHDM004,IHDM005,IHDM006,IHDM007,IHDM008,IHDM009,IHDM010,IHDM011,IHDM012,IHDM013,IHDM014,IHDM015,IHDM016,IHDM017,IHDM018,IHDM019,IHDM020,IHDM021,IHDM022,IHDM023,IHDM024,IHDM025,IHDM026,IHDM027,IHDM028,IHDM029,IHDM030,IHDM031
"G340","2010",,,"New Jersey","34",,,,,,,,,,,,,,,,,,"New Jersey",6103285,2969633,167760,183740,197028,125294,74814,177934,175059,170922,401786,493293,391564,222723,139113,48603,3133652,160435,177266,187219,118618,69330,167344,169340,169852,412938,509571,419349,262962,197997,111431,1186144,558353,41359,39351,47591,30011,20404,45831,36726,37839,79493,82198,53520,28020,12174,3836,627791,38585,39511,43624,30434,19278,45276,39667,43940,91885,95520,68278,40875,21784,9134,725077,351405,25734,23828,24450,12938,9459,19417,26520,33580,63344,50868,35036,18010,6491,1730,373672,24777,24238,23851,13791,7955,19964,30957,36484,66978,55051,38998,20674,7418,2536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Jersey",19750,12234,2685,5386,5367,1984,1773,3110,2734,2621,3289,3054,1959,1606,3021,2837,10263,2546,4798,4945,1612,1456,2193,2445,2063,3167,3174,2320,1820,4460,4094,9320,5262,2081,2448,3075,1308,1878,2202,1468,1771,1742,1250,1184,1045,1057,923,5706,1717,3160,2968,1236,1355,2189,1257,1431,1931,1600,1053,1005,1289,1145,5900,3657,1145,1688,1412,959,1059,1163,1217,1154,1337,1135,745,901,898,770,3594,875,2113,2216,926,1016,1408,1346,958,1086,987,876,1104,849,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G350","2010",,,"New Mexico","35",,,,,,,,,,,,,,,,,,"New Mexico",1515500,744031,47478,49009,52104,30746,21297,50531,48678,43798,89061,105075,100599,61899,35481,8275,771469,47395,48860,46935,28852,22162,45787,47284,44454,91185,112903,107863,68346,39226,20217,40588,22859,1426,1591,1528,504,695,2575,1872,2251,2962,2680,2765,1127,750,133,17729,1714,1203,979,865,467,1738,887,1335,2208,1851,2351,1348,470,313,25323,10191,499,386,389,380,0,839,785,1281,1886,1880,945,817,47,57,15132,830,856,1200,787,163,840,1394,742,2672,2737,1482,720,601,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Mexico",12116,7318,1486,2816,3304,1979,2315,2997,2355,1846,2720,2495,1517,1193,1564,979,7317,2150,3200,2991,1858,2005,2272,1868,1772,2427,2610,1373,1189,2018,2011,2908,2138,641,654,768,298,430,1053,621,848,833,725,852,500,423,151,1975,677,453,556,387,328,531,427,630,649,792,636,548,254,275,2206,1440,326,299,292,227,285,487,500,443,541,625,335,448,88,93,1465,398,326,485,451,180,434,500,441,760,718,449,363,354,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G360","2010",,,"New York","36",,,,,,,,,,,,,,,,,,"New York",12775673,6229100,346287,356047,384723,247764,175203,428941,418918,389006,827449,971803,815711,471034,289134,107080,6546573,330974,348227,354302,231049,169603,424958,425391,388604,825128,991730,870246,551849,409876,224636,3015272,1390105,98453,98026,111398,74887,54449,123170,100317,90776,184441,201456,136505,74608,32682,8937,1625167,94406,100975,103823,72791,52287,123140,113814,111724,225543,244383,180503,111643,64020,26115,1433875,689422,41196,38677,42192,25048,20018,58866,61488,58804,108455,100831,74749,37501,17192,4405,744453,38223,39065,40401,24709,20664,57216,70545,67628,123468,109367,81470,42995,20579,8123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New York",26664,14604,3678,7765,7376,2856,2511,3948,3911,3360,3731,3742,3079,2558,3674,3489,15628,4063,6716,6297,2522,2870,4180,3491,3220,4016,3482,3730,2371,6166,5932,17302,10214,2939,4185,4379,2308,1867,2916,2800,2579,3541,3350,2100,1576,1747,1435,10712,2458,4991,3842,1894,2150,2330,2411,2314,3013,3193,2732,1954,2562,2439,9785,5368,1731,2402,2292,1102,1571,2211,1597,1617,1820,1833,1383,896,1020,890,5863,1489,2806,2394,1119,1422,2225,2071,1690,2076,1583,1080,845,1391,1353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G370","2010",,,"North Carolina","37",,,,,,,,,,,,,,,,,,"North Carolina",6666233,3266874,196983,203917,209383,121981,91515,224012,206798,203795,465148,485834,419469,265462,134697,37880,3399359,186546,191562,201374,114049,84073,210731,209725,206226,462692,502154,455430,301472,188149,85176,2050395,962929,76389,76174,82150,50241,40462,73560,61348,61739,133567,132762,99573,48765,20328,5871,1087466,69840,68186,75900,48952,42388,78467,72139,71968,156877,158149,123208,67995,35114,18283,211705,99547,7299,8390,7797,5056,3184,8591,8262,8785,18735,12404,6282,3515,1247,0,112158,7627,9613,6997,3973,5541,7385,10380,10355,20204,14276,9625,4396,1371,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Carolina",15111,8991,3499,5811,5795,2535,3289,4191,3681,3291,3706,2218,1582,1112,2731,2524,9436,3053,6366,6041,2312,3212,3369,2676,3048,3303,2294,1356,946,3877,3780,11127,6804,2821,3404,3668,2088,2616,2734,2862,3424,4047,3017,1678,1927,1777,1082,8027,2987,3480,4165,2226,3417,3958,2611,2961,3498,2560,1529,2091,2263,1761,4370,2911,993,1374,1090,1141,838,1214,969,929,1664,1376,767,633,468,289,2927,854,1198,1053,801,1349,1119,1296,1326,1841,1342,1164,826,513,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G380","2010",,,"North Dakota","38",,,,,,,,,,,,,,,,,,"North Dakota",607058,306841,18571,17545,16958,11819,9312,27657,23348,18551,35353,45560,40455,21826,15270,4616,300217,17243,17620,15398,9951,8477,24677,20184,16945,33042,44452,38321,23608,18151,12148,8601,5758,625,819,434,228,248,616,887,341,812,471,252,25,0,0,2843,391,351,143,0,130,166,414,81,593,181,393,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Dakota",1188,866,532,1246,1218,471,797,807,286,397,396,218,167,10,787,731,1048,482,1364,1357,435,938,940,239,371,466,127,285,185,1057,1082,1080,1038,338,408,265,237,202,314,594,255,317,348,215,48,211,211,846,255,243,174,211,110,137,242,109,387,148,382,211,211,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G390","2010",,,"Ohio","39",,,,,,,,,,,,,,,,,,"Ohio",9569990,4684471,274663,295316,313066,193941,133126,310222,291893,283707,609811,734127,623515,350851,204815,65418,4885519,262058,281727,294677,186110,130649,300079,289487,280871,612686,753216,654499,408336,285115,146009,1412002,672660,56433,53775,54555,38646,25564,52801,45308,42724,86412,94511,67392,32831,16982,4726,739342,54468,49862,57072,34688,26551,54510,49189,48234,95546,105865,79384,44749,27757,11467,197489,94715,6914,6782,5871,3583,3178,8251,9616,9720,15187,12823,6937,4123,1255,475,102774,7119,7793,6064,3612,1956,7678,10179,10462,17039,13101,10090,4425,2553,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ohio",9283,5580,1892,6258,6279,1437,2309,2393,1547,1256,1763,1255,1091,1518,2987,2655,5954,1796,6468,6188,1614,2806,2878,1360,1332,1663,1542,1132,821,4144,4124,9497,6397,2179,3337,2896,1469,1323,1968,1999,1602,2136,2607,1421,873,1268,861,6059,2181,3405,2869,1370,1601,1460,1942,1888,1868,1849,1333,1251,1559,1700,3808,2635,1036,1202,1000,865,775,1284,1116,945,1293,1183,848,743,333,376,2626,831,1186,1088,695,614,1138,1035,1248,1394,1332,1020,873,476,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G400","2010",,,"Oklahoma","40",,,,,,,,,,,,,,,,,,"Oklahoma",2764307,1360743,81687,84666,85189,49091,36674,95664,98345,86494,172390,202117,175569,112269,63186,17402,1403564,82084,79450,80024,47812,38400,91649,92804,83824,168330,206607,185437,126616,82618,37909,270132,134633,10463,9961,12368,6074,4337,12086,11415,9250,19116,18161,12316,6116,2024,946,135499,10205,9474,10593,6350,5543,10572,9797,9618,17161,19379,13864,7128,4071,1744,65232,30571,2043,2454,2124,1212,666,3413,2890,3480,4612,3207,2511,1212,656,91,34661,2207,2748,1896,934,810,3074,3403,3053,4835,4755,3384,2208,1161,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oklahoma",8104,5028,1697,3418,3643,1529,2135,2098,1526,1327,1778,1341,635,611,1590,1475,5033,1754,3394,3394,1378,1707,2201,1552,1436,1411,1129,765,473,2139,2071,4992,3637,1367,1718,1963,1153,850,1119,1183,760,1228,1434,976,735,526,388,3039,1240,1406,1394,843,910,1030,1160,933,1361,1350,854,700,590,450,2927,1757,505,779,759,392,385,1015,650,703,614,510,462,428,370,116,1889,574,658,528,388,387,918,823,688,714,726,510,769,529,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G410","2010",,,"Oregon","41",,,,,,,,,,,,,,,,,,"Oregon",3262714,1606639,93638,93695,98988,59118,41727,104443,108883,108228,210019,233883,228986,131179,67429,26423,1656075,87736,90547,93986,57873,40332,101202,110106,105166,205639,241913,241661,141801,90312,47801,70368,38002,2222,2414,2780,2313,1526,4149,2016,3355,6829,3846,4207,1930,248,167,32366,3056,3057,2340,2021,956,2943,2504,2093,3208,4584,2896,1669,578,461,141586,65427,3988,3969,5254,2858,2559,5274,5906,4797,11786,8672,6276,2432,1312,344,76159,3795,4666,4998,2139,1737,5595,6163,6800,14707,10216,8308,3782,2259,994,12769,6589,146,998,732,236,178,732,306,957,744,706,655,106,93,0,6180,1026,677,75,96,89,362,1325,300,1094,467,290,0,107,272,"Oregon",12729,7358,1854,4246,4000,1682,1922,2192,1825,1557,2433,1518,1154,977,1815,1860,6601,1643,3799,3567,1406,1153,1848,1460,1712,2071,1887,1064,771,2782,2705,3549,1841,614,752,801,469,786,845,710,840,966,841,611,323,176,141,2447,728,1002,676,500,417,771,509,447,653,683,376,349,240,202,4867,2551,590,1120,1089,525,662,855,934,771,936,1002,797,466,422,222,3097,813,949,854,540,466,966,834,1046,1011,859,750,548,528,494,1315,1091,117,278,305,227,205,577,232,419,558,501,505,152,154,277,1154,489,338,100,198,163,361,565,333,682,324,219,277,164,376
"G420","2010",,,"Pennsylvania","42",,,,,,,,,,,,,,,,,,"Pennsylvania",10492442,5123184,273691,293090,314520,205771,152383,344878,313638,290787,657091,819120,704535,408838,250010,94832,5369258,262352,283203,291519,192545,150613,335688,303663,287580,659143,835603,734458,472598,361615,198678,1376234,651971,50578,52787,53074,37651,27878,58356,42402,41256,87862,89144,60836,31293,13443,5411,724263,49743,48489,55221,35756,28354,60121,48118,46085,95555,99219,76000,42208,28227,11167,350234,168573,11979,12345,11114,5211,6557,16224,15670,15806,27633,19970,14184,8220,3128,532,181661,10642,12630,12364,6049,6613,15214,16780,17104,30723,21824,17191,9344,4455,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pennsylvania",11982,7635,1834,5892,5329,1653,2089,2491,1706,1898,2527,2256,1708,904,3347,3229,7160,2137,5061,5273,1626,2545,3636,2273,1710,2234,1964,1894,1023,4474,4420,11015,8195,2180,3065,3781,1777,1662,2780,1622,2069,2880,2202,1290,1109,1025,1048,6594,2691,3374,3261,1694,2086,3218,1889,1597,2257,1710,1493,1070,1594,1158,5367,2936,1104,1403,1414,594,1278,1556,1208,1106,1332,916,909,886,720,339,3469,1116,1509,1442,935,1017,1516,928,1109,1535,1210,1055,816,704,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G440","2010",,,"Rhode Island","44",,,,,,,,,,,,,,,,,,"Rhode Island",857493,413515,20465,23231,24183,15692,14385,31931,24113,22890,53844,67279,56975,31643,19715,7169,443978,18640,23065,21583,15394,13983,31058,24637,23065,55859,72509,60596,36999,29043,17547,62822,29207,2936,1787,2472,1605,1023,3342,2214,1738,4477,3758,2458,683,462,252,33615,2774,2442,2816,1582,2049,3006,2708,2221,5150,3604,2825,1149,932,357,30939,14626,724,957,1191,698,788,1303,1328,1770,2601,1497,841,614,246,68,16313,927,917,1139,538,1259,1843,1790,1421,2625,1774,1263,560,173,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rhode Island",6327,3637,1034,1753,1815,601,990,1217,1054,596,1092,850,625,532,1009,944,3578,1012,1569,1613,535,653,725,779,986,882,940,689,518,1470,1427,3785,1660,644,675,876,377,233,602,391,465,569,426,459,283,254,245,2737,788,591,669,568,670,768,675,319,1067,674,523,446,357,184,1637,987,350,394,404,372,368,392,120,428,649,652,450,308,205,110,1039,521,453,632,388,689,680,203,587,619,749,450,228,162,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G450","2010",,,"South Carolina","45",,,,,,,,,,,,,,,,,,"South Carolina",3110798,1530412,88842,91107,95933,56066,47794,105233,97754,92687,204633,224543,205137,137520,64289,18874,1580386,84506,88553,88964,52830,44511,100856,94315,91728,203041,230610,222612,151347,87609,38904,1301988,607917,50527,43374,51667,32086,25021,52421,38715,37386,78087,83978,65803,33069,12556,3227,694071,50062,46335,49854,32179,22234,54846,47224,43472,91575,99001,81223,45022,20678,10366,53658,24695,1023,1189,1581,816,606,2235,2236,2857,4778,3236,1976,1567,595,0,28963,1390,1450,2068,854,371,1130,2522,3303,4858,3913,3142,3318,593,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Carolina",8478,5799,1896,4065,3383,1197,1786,2378,2000,1768,2137,1870,727,649,1850,1921,4618,1428,3509,3705,1374,1795,2083,1329,1628,1816,1492,826,759,2714,2708,6526,4833,1842,3648,3372,1766,2501,3054,2068,2335,2667,2047,1220,1281,1175,814,4127,1897,2947,2991,1977,2262,2434,1628,1669,2267,2124,786,1392,1362,1332,3328,2249,461,499,710,415,300,935,920,931,1129,782,546,547,320,296,1994,618,552,661,523,229,480,985,1022,963,1034,855,735,309,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G460","2010",,,"South Dakota","46",,,,,,,,,,,,,,,,,,"South Dakota",701880,351082,23348,20915,24000,13396,10665,23700,23853,21620,41375,52384,46454,26409,16467,6496,350798,20671,19099,22153,13020,10864,21813,22347,19884,39923,52711,44985,29055,21820,12453,10743,6997,600,920,403,629,91,576,1160,369,959,765,399,126,0,0,3746,709,310,354,54,0,776,183,227,292,704,137,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Dakota",2321,1898,721,1418,1339,536,1312,1418,988,700,825,459,249,488,808,895,1634,882,1414,1447,552,1248,1358,916,815,978,256,198,473,1158,1120,1290,1187,432,815,378,494,106,422,610,239,418,491,262,211,223,223,1062,492,246,379,93,223,456,172,354,248,487,186,223,223,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G470","2010",,,"Tennessee","47",,,,,,,,,,,,,,,,,,"Tennessee",4982270,2440136,146375,149637,159986,97285,65818,161005,155401,153092,335725,364933,321106,204915,99090,25768,2542134,140733,146073,148884,87146,64571,160667,152423,155271,334034,379920,343427,227299,138158,63528,1066253,504307,42388,40227,46050,28990,21277,43658,35202,32691,66136,66782,48937,20603,9320,2046,561946,37211,37472,44664,27020,21851,44966,39691,38548,80902,76519,58387,30034,17059,7622,93038,42410,2751,2976,3636,2045,1730,2452,3818,3329,8352,5259,3066,2284,712,0,50628,3720,4333,3069,1836,1165,3102,3625,5962,8974,6666,4788,2366,896,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tennessee",9322,6071,2077,4176,4060,2255,2800,3148,2490,2201,2363,1329,987,946,2085,1954,6180,2292,5140,5103,1825,2453,3116,1692,1844,1786,1223,1057,1232,3388,3056,7068,4752,1850,3006,2973,1541,2120,2163,1513,1220,2099,1724,1369,1208,1095,635,4862,1624,2766,2649,1349,1557,1645,1369,1261,2087,1925,1337,1287,1430,1347,3471,2243,793,631,935,573,599,711,658,857,1139,1039,762,703,389,287,2248,1028,937,827,568,521,711,740,973,1367,1167,1011,748,408,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G480","2010",,,"Texas","48",,,,,,,,,,,,,,,,,,"Texas",18716520,9296333,697726,702024,683326,408210,280684,671794,665110,638494,1256193,1302269,1016754,580784,300814,92151,9420187,661707,671836,664776,388417,264439,628468,646863,623747,1249495,1309871,1069167,654311,406639,180451,2970243,1433459,113948,121025,120846,78257,53390,115978,108412,98915,203873,202112,129326,56071,24035,7271,1536784,110613,114996,114636,72192,47584,118555,114608,115972,221350,219856,152427,75075,40912,18008,969500,471490,33031,33312,33541,18106,14108,35576,41140,39238,88634,62225,42736,20567,8149,1127,498010,33668,35132,32194,15895,12269,32701,42787,46321,91031,67560,50626,24096,9801,3929,18528,8915,668,653,996,201,0,1543,808,932,1531,835,524,224,0,0,9613,694,924,140,186,146,1645,446,820,1519,1255,1605,52,133,48,"Texas",44542,26504,5896,12229,11885,5540,6002,6828,6878,5930,7503,6450,4497,2543,4681,3761,23447,6984,10967,11399,4398,5839,7314,6119,5545,7363,6208,4276,2939,5452,5303,13225,7770,3253,5146,5151,2175,2679,4045,3166,2792,3589,3915,2176,1866,1704,1235,9008,3253,5109,4941,2171,2783,3732,2523,2591,3589,3289,2232,1917,1864,1777,8159,5952,1721,2303,2050,1447,1230,1678,1464,1196,2560,1909,1930,1101,923,425,4474,1376,2040,1976,1171,1289,1910,1625,1494,1828,1349,1364,1245,1209,872,2995,1645,509,490,639,189,294,699,517,684,625,514,409,216,294,294,1961,490,496,112,144,166,744,495,571,886,648,918,114,155,80
"G490","2010",,,"Utah","49",,,,,,,,,,,,,,,,,,"Utah",2466280,1236349,116674,110482,101197,58966,38053,100097,104065,98821,149527,139108,110607,62998,34782,10972,1229931,110241,105928,97636,53891,40763,98789,98527,95031,145055,139402,114058,69309,42949,18352,28701,16907,2058,809,2053,1136,1035,1337,2131,395,1998,2976,626,250,103,0,11794,833,1250,1675,1465,270,1033,802,454,800,1803,593,631,97,88,51846,24956,1134,1317,1546,1327,804,3023,2384,2353,3833,3492,2230,809,395,309,26890,1105,1301,1936,689,1002,1896,2785,2487,5025,4152,2142,1187,947,236,26013,14163,1833,2025,1034,835,865,1342,884,1042,1538,1775,673,281,36,0,11850,1146,1240,1553,836,481,1155,1260,744,958,1532,376,156,204,209,"Utah",10860,6265,1504,3396,3790,928,1505,1613,1359,1493,1457,1342,845,576,1371,1230,5355,1307,3333,3036,1078,1141,1671,1308,1123,1408,1228,715,655,1636,1548,2468,1803,933,364,560,558,565,721,646,272,718,754,349,146,106,267,1320,379,512,696,674,224,426,479,333,380,512,331,365,116,101,2665,1694,511,491,449,422,484,778,523,370,512,499,343,254,277,238,1577,378,470,627,260,487,771,443,255,503,628,435,418,412,190,2152,1472,606,715,310,188,323,455,461,313,531,591,331,247,70,267,1170,310,487,392,282,321,378,342,381,359,414,248,172,285,209
"G500","2010",,,"Vermont","50",,,,,,,,,,,,,,,,,,"Vermont",597325,294737,15138,15368,19332,12096,9764,21774,16574,15973,36579,48567,43638,23577,12027,4330,302588,13988,14308,17774,11053,9175,20118,16746,16755,37430,50598,44636,25321,15978,8708,6564,3737,353,69,191,523,521,546,251,107,479,217,428,52,0,0,2827,434,108,391,173,75,292,94,88,419,119,454,119,37,24,7813,3126,75,274,301,105,166,404,419,174,651,184,120,95,158,0,4687,182,637,231,34,217,551,719,180,937,486,135,285,69,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vermont",1265,910,328,1337,1261,329,347,557,100,194,280,234,203,122,755,695,739,68,1138,1130,330,519,621,253,414,100,312,324,151,1074,1076,1063,670,347,86,158,344,352,385,282,135,269,190,234,56,211,211,627,360,92,359,122,86,210,86,96,229,121,335,118,64,40,915,482,94,226,177,89,124,245,257,131,222,137,98,108,126,211,709,150,309,186,44,182,327,589,134,403,301,129,223,74,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G510","2010",,,"Virginia","51",,,,,,,,,,,,,,,,,,"Virginia",5573934,2761862,161867,161921,173659,106079,83432,195996,189356,174359,383350,429991,357336,207429,104891,32196,2812072,150619,159297,157580,97272,78184,178850,183097,171765,380021,438731,375132,229141,143810,68573,1569497,749659,51028,54207,59217,38769,25508,63882,54101,49117,104547,114233,76804,35744,16675,5827,819838,53045,51367,56220,36010,31059,59434,58011,53526,116457,124959,91080,48141,29195,11334,438003,207492,15203,16305,11845,8231,6645,14263,17503,17395,38362,28601,18038,11042,3301,758,230511,14542,13902,13406,6838,7042,13629,19398,22381,42452,34398,23373,12363,5703,1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virginia",16436,9288,3130,4928,4447,2486,5513,5135,3689,3872,3486,2727,1369,1258,2179,2150,9694,2580,5106,4180,2034,4517,4870,3127,3044,2422,2044,1281,866,3340,3328,8714,5586,2478,3370,3676,2187,1378,2098,2477,2822,3283,2821,1824,1604,1297,944,5892,2504,3832,3737,2066,2942,2814,2614,2775,3398,2521,1889,1660,2056,1481,6485,4163,1033,1683,1516,891,1512,1634,1483,1378,1730,1327,1178,878,589,386,3814,1276,1505,1582,833,1369,1661,1234,1266,1637,1309,1025,811,979,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G530","2010",,,"Washington","53",,,,,,,,,,,,,,,,,,"Washington",5308097,2639964,156738,158235,160650,103204,70278,175998,182336,173960,355209,409755,358425,197516,98716,38944,2668133,145323,155787,150893,97058,67278,170161,174300,170021,345249,409292,371539,210609,127520,73103,239112,129053,10089,10234,8187,5247,4387,12660,10148,11016,20220,18462,11407,4454,2424,118,110059,9796,8467,9152,4697,3312,9498,8041,8572,14934,14507,11412,4358,2387,926,485029,222718,14773,14164,14342,9686,7327,17337,20576,17953,36158,30574,22259,11472,4147,1950,262311,14872,15323,14372,8874,6016,16934,23234,22515,45034,37978,30480,15272,8556,2851,39889,19556,1344,1441,2364,715,1003,1693,1872,1582,2882,2184,1882,531,63,0,20333,1946,1101,2270,1225,983,2708,1701,973,2677,3179,1370,200,0,0,"Washington",14719,7857,2533,5293,4863,1349,2048,2566,2442,1743,2640,1839,1278,683,2362,2337,8405,2258,5276,4951,1433,2388,3150,2173,1928,1825,1962,1208,681,3913,3795,6439,3947,1188,1610,1328,873,924,2349,1106,1201,1530,1023,529,550,443,147,3939,1135,1388,1718,899,720,1261,801,972,1217,1031,1065,485,420,360,6968,4536,1613,1709,1886,1023,811,1264,1754,1458,1436,1206,783,657,735,664,3951,1449,1432,1413,761,632,1562,1219,1182,1593,1150,1086,817,928,789,2374,1706,537,700,753,333,412,566,658,627,775,877,576,385,110,277,1746,526,635,600,694,424,684,751,519,804,885,504,176,277,277
"G540","2010",,,"West Virginia","54",,,,,,,,,,,,,,,,,,"West Virginia",1740520,855035,48372,50606,50480,33286,24308,55971,48953,51812,112548,126402,125587,76453,39582,10675,885485,44844,46772,49680,29385,25874,52280,48994,51684,112466,131925,129266,83434,54545,24336,57509,30968,1423,1347,1812,1389,840,3321,2187,3089,4754,4611,3901,1332,821,141,26541,1753,1991,1745,1228,1050,1375,1964,1410,3667,3237,3268,1510,1583,760,10838,4794,131,105,188,309,146,637,798,477,822,546,284,241,13,97,6044,209,503,331,56,404,595,670,220,942,593,841,389,249,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Virginia",2508,2522,1058,2487,2465,1212,1576,1714,1550,1000,1205,971,349,630,1449,1316,2625,1326,2565,2356,1063,2141,2650,1038,1155,1039,382,308,457,1918,1926,3533,2388,686,559,774,659,502,870,621,809,1065,1106,682,348,354,154,2482,747,647,603,673,641,635,686,515,937,794,716,506,518,505,979,700,184,106,209,276,177,396,512,260,398,401,179,153,30,74,799,300,482,301,65,259,376,369,186,357,301,400,308,185,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
