GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,AAADE001,AAADE002,AAADE003,AAADE004,AAADE005,AAADE006,AAADE007,AAADE008,AAADE009,AAADE010,AAADE011,AAADE012,AAADE013,AAADE014,AAADE015,AAADE016,AAADE017,AAADE018,AAADE019,AAADE020,AAADE021,AAADE022,AAADE023,AAADE024,AAADE025,AAADE026,AAADE027,AAADE028,AAADE029,AAADE030,AAADE031,AAAFE001,AAAFE002,AAAFE003,AAAFE004,AAAFE005,AAAFE006,AAAFE007,AAAFE008,AAAFE009,AAAFE010,AAAFE011,AAAFE012,AAAFE013,AAAFE014,AAAFE015,AAAFE016,AAAFE017,AAAFE018,AAAFE019,AAAFE020,AAAFE021,AAAFE022,AAAFE023,AAAFE024,AAAFE025,AAAFE026,AAAFE027,AAAFE028,AAAFE029,AAAFE030,AAAFE031,AAAJE001,AAAJE002,AAAJE003,AAAJE004,AAAJE005,AAAJE006,AAAJE007,AAAJE008,AAAJE009,AAAJE010,AAAJE011,AAAJE012,AAAJE013,AAAJE014,AAAJE015,AAAJE016,AAAJE017,AAAJE018,AAAJE019,AAAJE020,AAAJE021,AAAJE022,AAAJE023,AAAJE024,AAAJE025,AAAJE026,AAAJE027,AAAJE028,AAAJE029,AAAJE030,AAAJE031,AAALE001,AAALE002,AAALE003,AAALE004,AAALE005,AAALE006,AAALE007,AAALE008,AAALE009,AAALE010,AAALE011,AAALE012,AAALE013,AAALE014,AAALE015,AAALE016,AAALE017,AAALE018,AAALE019,AAALE020,AAALE021,AAALE022,AAALE023,AAALE024,AAALE025,AAALE026,AAALE027,AAALE028,AAALE029,AAALE030,AAALE031,NAME_M,AAADM001,AAADM002,AAADM003,AAADM004,AAADM005,AAADM006,AAADM007,AAADM008,AAADM009,AAADM010,AAADM011,AAADM012,AAADM013,AAADM014,AAADM015,AAADM016,AAADM017,AAADM018,AAADM019,AAADM020,AAADM021,AAADM022,AAADM023,AAADM024,AAADM025,AAADM026,AAADM027,AAADM028,AAADM029,AAADM030,AAADM031,AAAFM001,AAAFM002,AAAFM003,AAAFM004,AAAFM005,AAAFM006,AAAFM007,AAAFM008,AAAFM009,AAAFM010,AAAFM011,AAAFM012,AAAFM013,AAAFM014,AAAFM015,AAAFM016,AAAFM017,AAAFM018,AAAFM019,AAAFM020,AAAFM021,AAAFM022,AAAFM023,AAAFM024,AAAFM025,AAAFM026,AAAFM027,AAAFM028,AAAFM029,AAAFM030,AAAFM031,AAAJM001,AAAJM002,AAAJM003,AAAJM004,AAAJM005,AAAJM006,AAAJM007,AAAJM008,AAAJM009,AAAJM010,AAAJM011,AAAJM012,AAAJM013,AAAJM014,AAAJM015,AAAJM016,AAAJM017,AAAJM018,AAAJM019,AAAJM020,AAAJM021,AAAJM022,AAAJM023,AAAJM024,AAAJM025,AAAJM026,AAAJM027,AAAJM028,AAAJM029,AAAJM030,AAAJM031,AAALM001,AAALM002,AAALM003,AAALM004,AAALM005,AAALM006,AAALM007,AAALM008,AAALM009,AAALM010,AAALM011,AAALM012,AAALM013,AAALM014,AAALM015,AAALM016,AAALM017,AAALM018,AAALM019,AAALM020,AAALM021,AAALM022,AAALM023,AAALM024,AAALM025,AAALM026,AAALM027,AAALM028,AAALM029,AAALM030,AAALM031
"G330","2014",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,"New Hampshire",1239410,610773,28964,33633,36254,23905,17891,41171,36478,34899,71467,99070,94378,58070,24817,9776,628637,28415,31513,34915,22346,19044,38484,34712,34910,73846,100580,97110,62263,32809,17690,17009,10381,305,998,412,280,481,1635,810,708,1900,1493,829,392,138,0,6628,580,629,497,539,106,229,1173,800,837,675,306,199,58,0,33974,16010,1766,1013,798,1326,522,1301,1129,1620,3000,1662,1008,547,283,35,17964,984,851,1150,858,811,1109,1215,1708,3240,2682,2092,730,534,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Hampshire",2714,1904,539,2135,2184,398,811,847,630,413,740,743,396,188,1260,1238,1669,641,2123,2073,335,1366,1390,546,520,528,533,544,372,1566,1503,2081,1567,197,704,277,164,432,606,561,444,622,503,312,348,117,182,1210,355,346,354,385,117,170,320,380,531,356,250,159,98,182,2254,1360,392,480,416,731,386,539,448,571,842,270,429,311,228,62,1561,375,404,546,542,390,447,451,516,548,579,607,510,359,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G340","2014",,,"New Jersey","34",,,,,,,,,,,,,,,,,,"New Jersey",6053656,2965794,160655,173250,189308,119482,75228,185652,181967,176336,366421,463283,423575,262059,132484,56094,3087862,152967,165083,178191,112278,66933,175800,167962,175511,366284,476271,446745,304980,185606,113251,1212054,567980,39565,39609,42777,28011,19402,47576,42724,37217,78846,81463,60179,32984,13318,4309,644074,39483,40816,41151,27027,17621,49259,44690,44188,86808,96329,75316,46441,24441,10504,827493,401590,25180,26295,27679,15872,9516,23158,29040,36131,73700,56137,41980,25021,9659,2222,425903,26018,26360,25701,14884,8566,24760,31650,39185,76780,60403,47573,28949,11207,3867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Jersey",22978,12666,3277,5604,5179,1917,1468,2608,2663,3245,4132,2932,2158,1446,3072,3016,12420,2855,5557,5374,1700,1285,2333,2072,2190,2959,3025,2515,1659,4181,4229,10107,6212,1689,2758,2649,1421,1421,2104,1506,2188,1846,1542,1015,945,1014,808,5709,1530,3170,2599,1186,1358,1753,1597,1385,2043,1366,1054,926,1362,1174,4813,2881,1079,2236,2218,795,833,927,758,760,1386,925,623,909,849,691,2761,1121,1987,1950,563,889,1097,1005,917,936,586,547,1020,1335,1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G350","2014",,,"New Mexico","35",,,,,,,,,,,,,,,,,,"New Mexico",1525459,756506,47200,47390,48934,29448,20316,54159,50050,49792,88241,95168,102907,74759,37584,10558,768953,44414,48479,45201,25979,18676,48834,47299,45772,86839,99835,112174,80733,46261,18457,41277,23640,1352,1522,983,758,1922,1937,1931,2406,2898,2867,2361,1478,1141,84,17637,988,915,1669,710,566,1647,648,1672,2145,1782,2634,920,909,432,31566,13654,693,584,1222,338,1068,802,1569,619,2480,1680,1476,778,345,0,17912,946,984,746,446,491,984,1142,1577,3089,2600,2622,1555,637,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Mexico",15508,8823,2281,3036,3653,1757,1776,2480,2078,2502,2765,2291,1710,1257,1941,1472,8395,2140,3390,2802,1461,1758,2188,2359,2347,2184,2013,1631,1802,2151,2125,2170,1870,803,704,368,528,1099,725,872,1034,658,545,528,470,577,103,1811,495,533,782,389,416,696,362,864,859,713,713,369,421,345,2145,1602,373,380,664,296,502,477,647,264,516,485,399,333,228,190,1291,476,466,276,297,280,463,485,610,652,501,578,643,322,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G360","2014",,,"New York","36",,,,,,,,,,,,,,,,,,"New York",12634312,6180258,332801,339356,358206,222020,167032,423870,438489,408927,764546,916074,859255,552725,283386,113571,6454054,321269,324188,337946,216223,160620,411213,434294,407093,757302,924017,908766,633543,383943,233637,3093476,1433740,103630,100928,98464,65360,46342,131064,118694,99900,176599,200753,157012,86195,37448,11351,1659736,99797,95516,101606,62724,45228,131790,123730,112744,216260,240924,201064,127773,66942,33638,1613255,770776,47443,41657,43174,24691,20754,60474,73152,65873,117281,107358,91092,49528,23050,5249,842479,45279,38412,42032,26879,19805,66344,78967,76094,136037,119547,98501,55667,27564,11351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New York",30471,17750,4186,6311,6412,2648,2453,4068,3669,3719,5163,4542,3697,2477,4590,4342,15846,3869,5813,5505,2302,2316,3879,3389,3051,4456,4201,3049,2782,5402,5256,17224,10095,3140,3572,4229,2105,2268,2825,2979,2169,3205,2686,2365,1407,1669,1402,10358,2658,4530,4370,2039,1630,2806,2501,2381,3239,2761,2023,1815,2143,2372,8423,5142,2120,2369,2188,998,1345,1865,1722,1552,1981,1649,1080,946,1335,1237,5296,1911,2099,2549,1111,1211,1968,1950,1562,2032,2070,1258,993,1477,1406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G370","2014",,,"North Carolina","37",,,,,,,,,,,,,,,,,,"North Carolina",6869207,3368957,186557,202666,216064,120492,92286,237379,213096,204712,444981,484890,444947,325332,149642,45913,3500250,178667,196030,200870,117963,87673,213063,212744,212968,446810,493400,479921,367065,201091,91985,2154387,1007735,69763,74930,81963,49431,36617,88548,69096,63223,132090,132812,115137,64111,24729,5285,1146652,64690,75409,78831,46018,39642,88704,77095,74437,158466,158968,141756,83198,40922,18516,246721,118356,8581,8072,8870,4055,3804,9066,10498,13476,22271,14744,8579,4302,1888,150,128365,7580,8318,10165,4166,4371,10228,10473,13446,23294,16068,12061,5162,2502,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Carolina",14005,9267,3407,5450,5882,2099,3122,3369,2870,3114,3990,2671,1735,1300,2780,2627,7505,3384,6521,6357,2181,3190,3222,2460,2472,3462,2314,1402,1131,3986,3780,10354,7577,2878,4132,4926,2433,2600,3460,2926,2702,3350,3037,1433,1743,1669,895,6460,2798,3750,3977,2644,2689,3014,2664,2220,3113,2922,1454,1496,1824,1890,4309,2737,1130,1174,1346,814,742,1159,916,1255,1256,1131,790,676,584,154,2694,988,1308,1584,724,982,1224,1177,1319,1440,1597,1156,585,662,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G380","2014",,,"North Dakota","38",,,,,,,,,,,,,,,,,,"North Dakota",654375,334805,21351,21395,17070,11161,11429,32040,25769,23825,38446,42058,44701,26111,13879,5570,319570,19343,19004,18033,10556,10128,26804,21756,20853,35059,39645,42573,26038,18132,11646,14910,8434,659,549,228,49,570,1746,1838,1054,917,499,234,20,71,0,6476,863,803,1064,426,81,788,495,771,530,121,513,21,0,0,8899,4401,177,445,110,78,362,754,792,335,677,378,214,79,0,0,4498,228,11,374,41,134,320,850,401,989,673,230,247,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Dakota",2212,1633,514,1349,1306,584,1012,1065,904,520,590,328,352,348,664,664,1355,472,1511,1533,468,1191,1183,663,307,513,370,211,44,1185,1187,1262,1488,323,554,223,76,433,794,1034,629,564,487,275,28,126,147,1423,314,365,695,303,105,609,429,396,372,137,414,38,147,147,919,745,135,251,123,87,375,360,397,231,249,275,195,83,147,147,666,202,18,266,53,125,201,281,242,482,440,154,137,147,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G390","2014",,,"Ohio","39",,,,,,,,,,,,,,,,,,"Ohio",9522264,4674494,262907,286947,293629,186516,123793,309521,302519,290473,576071,673830,666808,419475,210416,71589,4847770,249690,268288,283720,177215,121049,298508,292984,288645,575626,686796,699327,473939,277875,154108,1419214,676810,52628,53095,54333,33399,23464,61701,47053,42136,85775,85028,77179,38046,16866,6107,742404,50747,54913,48314,32862,23205,59661,51914,47154,94158,96056,89668,50371,29910,13471,225438,106217,6930,7144,6002,3594,4120,8113,10557,10750,20183,11482,8871,5583,2299,589,119221,6493,6775,8357,3949,3958,8152,11779,11784,21862,14808,11453,5985,2860,1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ohio",7875,5373,1764,6904,7213,1269,2100,2378,1887,1974,1988,1305,1118,865,3506,3333,4673,1747,6015,5637,1250,2094,2363,1600,1579,1563,1485,1173,889,5135,5061,9642,5731,2106,2622,2814,1500,1301,2626,1879,1708,2260,1597,1424,917,1067,895,6714,2197,3583,2946,1424,1714,2143,1659,1855,2163,1927,1173,1037,1453,1296,5022,3118,950,1050,1084,614,890,1126,860,1071,1454,1211,889,798,540,353,3073,910,1043,1147,758,875,1114,1158,936,1391,1179,852,634,682,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G400","2014",,,"Oklahoma","40",,,,,,,,,,,,,,,,,,"Oklahoma",2827481,1397854,86277,90693,85447,53399,38298,95493,94517,95678,173517,185970,184558,127588,67211,19208,1429627,79613,84487,81587,48591,33764,94661,91072,93725,171285,187957,195419,143852,84142,39472,287254,141521,11028,10555,11246,6436,5084,14308,9962,10944,18489,17690,14996,7216,2191,1376,145733,11528,12331,8786,6344,5471,14153,11622,10316,16483,17781,16766,8466,4024,1662,76654,36171,2986,2421,1428,1471,1282,4043,3578,3308,5557,4584,3023,1665,698,127,40483,2481,2067,2273,1365,1630,3688,3755,4122,6435,4829,3990,2430,1161,257,4995,2847,533,435,184,0,121,41,344,326,182,545,136,0,0,0,2148,337,385,0,115,83,514,176,70,210,87,35,62,74,0,"Oklahoma",6268,4054,1365,2916,2809,961,1603,1634,1633,1386,1561,1384,584,556,1519,1446,3669,1180,2813,2807,861,1332,1569,1105,874,1527,984,720,597,2282,2236,4498,3208,839,1229,1204,751,1037,1250,916,900,1342,957,662,496,520,415,2888,1247,1439,1171,703,1038,1281,1020,813,1047,1244,660,675,525,372,2858,1806,748,500,486,570,418,970,743,735,768,623,396,271,412,113,1691,449,578,604,448,535,537,591,607,616,606,546,549,451,186,1023,683,242,198,136,153,85,78,179,291,124,372,176,153,153,153,660,290,235,153,94,80,240,183,54,153,100,60,85,115,153
"G410","2014",,,"Oregon","41",,,,,,,,,,,,,,,,,,"Oregon",3358250,1658624,90026,93977,98957,61026,39899,106486,110165,112363,219222,218774,238532,166316,73174,29707,1699626,86643,88620,92810,55573,36132,105882,107810,115134,210207,222666,253508,183045,89817,51779,71042,39128,2257,2914,2962,1460,1890,4038,3604,2843,5624,4609,4187,2437,188,115,31914,2219,3167,2260,1382,567,2558,2477,2181,4691,3593,3420,1927,1065,407,159891,72164,3676,4789,4246,3255,2548,6618,5827,5400,11530,10263,7351,4080,2133,448,87727,3786,4599,4894,2888,2543,8002,6527,6682,15650,13306,10161,4837,2741,1111,14113,6914,229,594,635,143,173,1033,648,504,1484,357,920,194,0,0,7199,666,871,469,21,298,312,870,415,1320,537,700,636,84,0,"Oregon",13638,7908,1618,4135,4121,1390,1619,1879,1748,1526,2351,1817,1523,890,2100,2038,7209,1783,3784,3766,1376,1434,2218,1774,1655,1998,1735,1134,1169,2934,2894,3386,2133,640,750,990,622,951,969,741,692,951,778,651,547,197,150,2277,678,939,715,835,486,808,671,576,808,671,537,413,457,230,4298,2439,691,1246,989,588,825,1060,745,707,792,788,628,472,436,252,3062,729,1057,1042,562,597,1393,782,913,1014,921,702,505,537,452,1864,1410,286,383,393,249,172,599,426,315,541,253,728,218,197,197,1611,379,593,365,50,217,296,389,371,957,474,480,460,113,197
"G420","2014",,,"Pennsylvania","42",,,,,,,,,,,,,,,,,,"Pennsylvania",10408847,5095871,265571,276898,301993,188311,141437,330258,334834,313650,605167,749335,753972,483891,253901,96653,5312976,251948,260836,289046,178003,135592,324684,320163,306426,602808,765070,785942,545599,342104,204755,1416865,682922,49945,50359,54708,34254,24871,66848,53888,45550,85874,86680,71485,37455,15318,5687,733943,47990,51512,50736,30456,22984,59399,56864,49504,90999,96983,85850,49133,27940,13593,399285,191452,11780,13537,11150,7089,6625,16719,18609,17245,31949,24038,17809,9970,4511,421,207833,12145,10537,15024,7265,7700,16660,18757,20697,33768,26798,19652,12144,5020,1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pennsylvania",14006,8362,2414,4662,5843,1492,2236,2847,2389,2295,3054,2133,1575,1239,3330,3417,7903,2510,5003,5273,1411,1488,2008,1737,1757,2485,2095,1604,1265,4871,4628,10987,7135,2630,3511,3065,1491,1617,2023,2082,1919,2542,1907,1467,1125,1142,1063,6740,2083,3317,3230,1698,1241,2107,2151,1954,2114,1910,1305,1137,1663,1534,5091,2904,948,1759,1303,841,853,1149,1092,964,1441,1344,890,895,614,217,3420,975,1238,1523,810,826,1245,950,1342,1293,1250,843,879,718,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G440","2014",,,"Rhode Island","44",,,,,,,,,,,,,,,,,,"Rhode Island",858236,414450,19699,21784,22755,15923,12798,31382,27722,25344,48769,62629,60401,38694,18085,8465,443786,19438,19257,22719,14012,13261,31028,27436,25702,50203,66562,65820,43940,25853,18555,70600,36289,2979,4286,2787,1312,1617,3111,3471,2589,5438,3640,3007,1213,502,337,34311,2422,3369,2802,1908,1211,2391,2459,3113,4676,4105,3154,1344,1145,212,35676,15926,970,568,889,750,759,1939,1329,1366,2766,2181,1281,488,413,227,19750,1248,728,1433,783,1251,2603,1708,1765,2854,2223,1259,1287,388,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rhode Island",5406,3363,1124,1804,1784,647,835,999,864,682,923,963,556,433,1063,1119,3000,1186,1649,1811,646,709,992,919,697,862,818,611,544,1588,1566,3924,2241,631,966,603,518,429,487,974,338,705,433,378,376,375,186,2245,562,953,837,334,271,585,535,592,745,524,479,253,445,179,2016,1368,437,372,434,357,342,387,579,494,568,435,455,353,267,297,1256,468,422,411,343,423,632,346,257,537,389,436,458,164,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G450","2014",,,"South Carolina","45",,,,,,,,,,,,,,,,,,"South Carolina",3254145,1599845,87361,94071,95247,56806,45971,110562,103131,98742,204121,220190,214038,172481,74917,22207,1654300,84084,90848,90967,54772,42177,100770,103152,97694,202231,226327,235796,189376,92537,43569,1320373,618157,44090,49667,45247,27557,22239,58716,42283,40514,74546,78749,73983,42086,14277,4203,702216,42430,47179,45617,27643,20245,56809,49525,47581,88715,95362,90432,54735,25396,10547,68976,32213,2289,1827,2507,1159,794,3680,2511,2467,4807,4645,2232,2059,671,565,36763,1797,2135,2688,1094,1267,3475,2128,2516,6369,5836,3642,3078,738,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Carolina",8625,5333,1761,3975,3677,1496,2234,2565,1888,2187,2078,1631,1128,859,1763,1775,4862,1975,4049,3918,1418,2054,2159,1416,1894,2097,1306,1036,801,2592,2608,6935,5141,2206,3253,3344,2029,2269,2373,2389,2558,2491,2475,923,1210,1139,905,5188,2366,3246,3523,1675,2147,2551,2053,1580,2159,2227,882,1039,1371,1470,2531,1998,701,636,705,496,397,1055,811,866,979,1265,719,755,322,383,1717,585,595,769,422,544,1016,832,772,1149,1124,741,760,459,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G460","2014",,,"South Dakota","46",,,,,,,,,,,,,,,,,,"South Dakota",724768,364236,23474,21325,24574,13387,10614,25155,24056,24091,42323,47519,51847,32381,17029,6461,360532,21292,21616,21684,12522,9957,23859,20861,22763,39862,47332,51334,32926,20800,13724,14830,8014,1102,886,413,519,438,826,391,730,1355,1013,299,42,0,0,6816,329,1526,345,371,433,735,350,818,1116,480,228,85,0,0,11017,4969,378,562,65,394,301,344,153,771,972,606,290,26,107,0,6048,540,546,584,296,152,831,918,497,914,225,299,181,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Dakota",2261,1506,793,1481,1423,590,942,1093,604,744,375,274,236,108,822,794,1770,776,1579,1525,687,1111,1261,568,487,652,484,297,442,968,955,2141,1104,470,355,193,231,272,428,333,374,466,431,276,65,151,151,1444,228,560,254,256,329,605,235,518,627,281,170,142,151,151,1189,1058,237,319,56,235,282,226,159,343,511,417,242,48,160,151,888,262,240,441,347,140,444,447,328,393,154,208,175,56,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G470","2014",,,"Tennessee","47",,,,,,,,,,,,,,,,,,"Tennessee",5084404,2486831,141227,153014,157726,94280,63717,165815,160252,155807,325276,354137,332011,241711,112011,29847,2597573,136703,145320,148575,90565,61229,165258,160060,161271,325493,363999,359554,268444,146301,64801,1105318,524125,40664,41846,40655,26321,18804,48683,39862,34941,69307,66316,56897,27615,9627,2587,581193,40320,38671,39097,24708,18849,49004,43747,40781,76257,76322,71321,36976,17231,7909,102508,47105,3709,3419,3084,1463,1172,2694,4524,4622,8232,6822,3701,2336,1118,209,55403,3356,2443,4286,1895,2300,2981,4182,5473,10233,6532,5785,4270,1167,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tennessee",7598,5660,2084,3542,3849,1736,2453,2983,1913,1757,2142,1493,1157,721,2074,1920,4442,1861,5194,5204,2097,2527,2887,1987,1679,2039,1494,954,1049,3005,3053,7359,4909,1864,2941,2824,1310,1411,1571,1383,1707,2256,2099,1303,1215,865,753,5225,2159,2685,2755,1454,1578,2017,1320,1401,1733,1670,1556,1220,1397,1055,3823,2483,827,830,637,500,477,681,985,749,1192,1209,656,642,398,244,2560,857,732,851,552,784,765,757,787,1314,862,632,793,433,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G480","2014",,,"Texas","48",,,,,,,,,,,,,,,,,,"Texas",20265860,10085382,727221,747243,744272,435232,292699,737194,723060,724301,1345849,1306510,1143122,716188,333341,109150,10180478,684219,719000,708063,419266,271786,693036,697315,702480,1337958,1314601,1197778,797148,443523,194305,3234898,1566181,117045,122684,129500,74352,55316,138033,121810,116207,215279,203664,160234,74934,29913,7210,1668717,109954,119891,121357,73310,48354,135005,124188,126815,239964,222243,184966,98049,45751,18870,1161951,563383,36684,38873,35617,21160,14609,40221,47928,51028,100610,77901,53200,31230,11781,2541,598568,35189,39949,36371,20729,12529,38918,50465,57089,109521,81307,64116,34323,13642,4420,20055,9347,1251,436,169,665,502,794,930,683,1622,1111,736,419,29,0,10708,628,457,1019,302,69,900,932,1419,1593,1752,724,663,250,0,"Texas",39583,21345,6175,12983,13148,4721,5644,7398,6684,5867,6470,7050,4934,3278,4335,4306,23588,7952,11176,10006,4886,5091,5394,4765,5871,6253,6315,4151,3194,4841,4583,16292,8940,3433,5059,4429,2374,2723,3786,3944,2958,3510,2852,2395,1930,1793,1157,12761,3880,5004,4714,2537,2862,3370,2937,3269,3862,2983,2072,2886,2368,1884,9196,6137,1852,2509,2444,1588,1343,1637,1776,1632,2293,1938,1560,1290,1392,792,5544,1790,2886,2921,1264,1040,2059,1679,1909,2213,2021,1515,1251,1350,1188,2323,1242,724,274,177,557,327,419,466,368,508,445,407,339,61,211,1956,348,390,810,294,110,534,401,687,602,741,582,421,172,211
"G490","2014",,,"Utah","49",,,,,,,,,,,,,,,,,,"Utah",2568018,1287875,109271,111955,111150,61357,36204,105590,91043,99624,171242,136149,125091,77769,37613,13817,1280143,100807,110342,101538,57944,36819,104935,90037,96626,164977,136020,129448,85080,48054,17516,33520,19536,998,1707,2294,1388,588,2402,1574,1404,3406,1841,1320,535,51,28,13984,1050,1405,1665,979,459,1378,990,851,1806,1419,1158,393,81,350,66060,31159,1607,1944,2302,1775,1015,3433,3034,3109,4677,3343,3015,1158,499,248,34901,1336,1854,2177,919,1169,3240,3842,3133,6038,4423,3768,1671,1038,293,25425,12763,1324,1574,1233,634,431,1260,1087,914,1297,1281,1072,595,61,0,12662,1220,1354,1098,679,507,1980,1122,688,1361,1055,657,579,362,0,"Utah",10207,6381,1903,3683,3403,1055,1262,1630,1245,1184,1482,1295,926,727,1476,1461,5407,1783,3943,4043,1102,1097,1951,1315,1201,1691,1187,1009,717,1682,1612,2373,1638,464,598,709,597,327,744,644,291,880,325,463,384,95,58,1441,381,614,445,466,353,595,424,568,669,703,506,236,100,263,2726,1559,481,542,557,383,427,710,485,556,800,523,381,273,221,247,1735,473,568,504,346,398,637,469,417,709,570,590,283,368,205,2252,1172,261,529,454,308,238,442,253,68,504,407,392,378,105,184,1460,246,683,676,445,403,798,232,440,558,432,419,372,310,184
"G500","2014",,,"Vermont","50",,,,,,,,,,,,,,,,,,"Vermont",591853,291459,14448,15317,16548,10951,9576,22068,16674,16815,33588,42744,45464,29798,12395,5073,300394,13276,15855,14412,10278,8760,21448,16637,17068,34161,44617,47592,31150,16995,8145,6164,3425,223,243,427,153,272,485,418,313,373,195,256,67,0,0,2739,160,181,139,360,191,163,138,435,588,0,287,0,97,0,9933,4793,688,0,357,246,168,752,658,298,603,265,344,402,12,0,5140,240,237,212,348,243,541,678,587,771,518,541,183,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vermont",1756,1159,284,1024,1029,408,644,677,272,259,351,254,324,184,705,576,918,349,1333,1348,288,703,796,435,274,314,388,305,146,990,948,1031,723,157,199,246,148,171,204,299,251,241,173,157,92,147,147,597,124,135,104,204,198,134,140,417,341,147,209,147,119,147,1118,781,362,147,154,175,160,592,402,260,311,208,291,250,20,147,724,227,242,276,237,188,300,506,346,396,310,312,80,44,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G510","2014",,,"Virginia","51",,,,,,,,,,,,,,,,,,"Virginia",5739681,2845803,160454,167948,171071,102440,80935,198494,201346,195790,374451,413511,373867,253521,113271,38704,2893878,154803,158339,160225,99714,76452,186877,187791,187037,363908,419975,394902,280055,147945,75855,1601449,761583,51281,54438,56245,34061,28412,65330,59595,53096,98857,104176,87550,43856,18846,5840,839866,48348,56003,49635,34854,27215,66872,60794,58714,107911,120277,104848,59853,29424,15118,510871,238613,12976,16702,15983,8722,6960,17419,18983,21355,41010,34459,22959,13405,5920,1760,272258,15410,15974,17818,9318,7019,15258,20863,25031,51810,38022,29188,17486,6645,2416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virginia",13500,8587,2681,4857,4653,1934,3368,4110,2878,2819,3305,2895,1305,1231,2428,2248,8776,2389,5044,4734,2655,2921,3462,2395,2641,2508,2040,1587,1128,3454,3341,10701,6687,2451,2801,2739,1825,2252,3085,3091,2279,2920,2653,1801,1672,1621,944,7362,2092,3045,3277,1915,2689,2400,2261,2379,2649,2115,1783,1622,1907,1723,6813,4175,1398,1779,1720,905,853,1559,1138,1400,1426,1241,1102,962,890,571,4144,1266,1495,1673,874,1055,1260,1457,1457,1448,1344,1227,1403,854,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G530","2014",,,"Washington","53",,,,,,,,,,,,,,,,,,"Washington",5484997,2739950,157909,160552,162798,98115,64701,186616,194753,193358,354722,383246,381490,250650,106556,44484,2745047,151311,154760,152307,95313,60921,172456,180249,183636,343106,379063,394542,268556,133287,75540,251336,136916,8382,9840,7762,5195,4331,12509,11093,11890,20896,19888,14889,7106,2440,695,114420,8635,8961,8202,5274,3098,9360,9731,8662,15734,14754,12012,6221,2939,837,554101,255158,14739,14442,15133,9177,7483,21049,23354,23235,42757,32507,26359,15539,6980,2404,298943,15024,17569,14173,8627,6465,20144,24451,26092,50262,42981,35858,22124,10610,4563,45359,24732,1505,2698,2160,1010,852,2985,3573,2363,3208,1920,1584,664,133,77,20627,1707,946,1883,843,626,2189,1523,2288,3262,1897,2045,861,501,56,"Washington",15746,9226,2244,4693,4318,1987,2060,3406,2062,1895,2849,2471,1374,946,2602,2659,8840,2308,5374,4654,1562,2007,2481,2181,1849,2630,1928,1536,1232,3536,3498,7633,4971,1180,1596,1283,1006,1055,1585,1340,1364,1311,1013,919,658,662,450,4558,1190,1910,1486,803,640,1595,965,1129,1350,921,679,488,542,390,5778,3982,1338,1240,1455,853,784,1475,1124,1336,1481,1115,1133,671,687,617,3866,1129,1657,1558,776,822,1395,1239,1366,1122,1349,911,981,909,798,2260,1529,517,784,681,357,444,874,992,952,929,641,388,298,131,66,1687,643,400,651,436,383,553,506,641,803,471,590,412,344,85
